organisation,organisation_kind,geography,website,engagement_mode,domain_ids,domain_families,tags,priority,rationale,provenance_kind,evidence_state,exclude_domain_ids
Bowmans,law firm,South Africa,https://www.bowmanslaw.com,RESEARCH_FIRST,,PROFESSIONAL|CROSSCUTTING,legal services contract due diligence compliance procurement,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Compliance Institute Southern Africa,professional association,South Africa,https://www.compliancesa.com,PARTNERSHIP_OR_RESEARCH_ONLY,,PROFESSIONAL,compliance regulatory affairs governance,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Human Sciences Research Council,research council,South Africa,https://www.hsrc.ac.za,PARTNERSHIP_OR_RESEARCH_ONLY,,SOCIAL|PROFESSIONAL,economics business psychology sociology political policy geography education research development,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
National Health Laboratory Service,public laboratory service,South Africa,https://www.nhls.ac.za,OBSERVATION_OR_PARTNERSHIP,,HEALTH|PROFESSIONAL,diagnostic laboratories laboratory public health,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Ogilvy South Africa,advertising agency,South Africa,https://www.ogilvy.co.za,RESEARCH_FIRST,,PROFESSIONAL,advertising marketing services campaign creative,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
SABS,standards body,South Africa,https://www.sabs.co.za,OBSERVATION_OR_PARTNERSHIP,,PROFESSIONAL|PUBLIC|CROSSCUTTING,quality certification readiness standards accreditation,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Department of International Relations and Cooperation,government department,South Africa,https://www.dirco.gov.za,OBSERVATION_ONLY,,PUBLIC,foreign affairs diplomacy international,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Electoral Commission of South Africa,election authority,South Africa,https://www.elections.org.za,OBSERVATION_ONLY,,PUBLIC,elections civic administration ballot,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
National Disaster Management Centre,government disaster management body,South Africa,https://www.ndmc.gov.za,OBSERVATION_ONLY,,PUBLIC,emergency management disaster response,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Office of Health Standards Compliance,health regulator,South Africa,https://ohsc.org.za,OBSERVATION_ONLY,,HEALTH|PUBLIC|CROSSCUTTING,health administration quality inspection standards,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Office of the Chief Justice,judicial administration,South Africa,https://www.judiciary.org.za,HIGH_RISK_OBSERVATION_ONLY,,PUBLIC,justice courts tribunals judicial,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Pan South African Language Board,public language body,South Africa,https://www.pansalb.org,OBSERVATION_OR_PARTNERSHIP,,HUMANITIES|PUBLIC,languages linguistics translation terminology,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Council on Higher Education,quality council,South Africa,https://www.che.ac.za,OBSERVATION_OR_PARTNERSHIP,,EDUCATION|CROSSCUTTING,accreditation institutional quality higher education,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Curro Holdings,school group,South Africa,https://www.curro.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION,primary secondary education assessment curriculum school,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Grow ECD,early childhood organisation,South Africa,https://www.growecd.org.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION|CIVIL,early childhood education learning,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Independent Examinations Board,assessment body,South Africa,https://www.ieb.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION|CROSSCUTTING,primary secondary education assessment accreditation quality,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
National Research Foundation,research funder and agency,South Africa,https://www.nrf.ac.za,OBSERVATION_OR_PARTNERSHIP,,SCIENCE|EDUCATION|CROSSCUTTING,mathematics statistics physics chemistry earth environmental biological ecology astronomy computer research funding grant,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Stellenbosch University,university,South Africa,https://www.sun.ac.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION|SCIENCE|SOCIAL|HUMANITIES|ENGINEERING,higher education research mathematics statistics physics chemistry biology computer science engineering economics psychology sociology history language literature,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Umalusi,quality council,South Africa,https://www.umalusi.org.za,OBSERVATION_OR_PARTNERSHIP,,EDUCATION|CROSSCUTTING,accreditation institutional quality assessment education,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
University of Cape Town,university,South Africa,https://www.uct.ac.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION|SCIENCE|SOCIAL|HUMANITIES|ENGINEERING,higher education research mathematics statistics physics chemistry biology computer science engineering economics psychology sociology history language literature,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
University of the Witwatersrand,university,South Africa,https://www.wits.ac.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION|SCIENCE|SOCIAL|HUMANITIES|ENGINEERING,higher education research mathematics statistics physics chemistry biology computer science engineering economics psychology sociology history language literature,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
ADvTECH Schools,school group,South Africa,https://www.advtech.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,EDUCATION,primary secondary education assessment curriculum school,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Medical Research Council,research council,South Africa,https://www.samrc.ac.za,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH|SCIENCE|PROFESSIONAL,public health epidemiology clinical research biotechnology medical,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Ampath,pathology laboratory,South Africa,https://www.ampath.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH|PROFESSIONAL,diagnostic laboratories laboratory pathology,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African National Biodiversity Institute,public biodiversity institute,South Africa,https://www.sanbi.org,OBSERVATION_OR_PARTNERSHIP,,SCIENCE|PUBLIC,biological sciences ecology biodiversity environmental,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Statistics South Africa,national statistics agency,South Africa,https://www.statssa.gov.za,OBSERVATION_OR_PARTNERSHIP,,SCIENCE|SOCIAL|PUBLIC,statistics probability economics data analytics,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Hatch Africa,engineering consultancy,South Africa,https://www.hatch.com/About-Us/Offices/South-Africa,RESEARCH_FIRST,,ENGINEERING|PROFESSIONAL,mechanical electrical civil chemical materials industrial energy engineering,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Heritage Resources Agency,heritage authority,South Africa,https://www.sahra.org.za,OBSERVATION_OR_PARTNERSHIP,,HUMANITIES|PUBLIC,history archaeology heritage museums archives,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Adcorp,workforce solutions group,South Africa,https://www.adcorpgroup.com,RESEARCH_FIRST,,PROFESSIONAL|ORGANISATION,human resources recruitment training performance,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
SAPICS,professional association,South Africa,https://www.sapics.org,PARTNERSHIP_OR_RESEARCH_ONLY,,PROFESSIONAL|ORGANISATION,procurement sourcing supply chain professional development,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
JET Education Services,education research nonprofit,South Africa,https://www.jet.org.za,PARTNERSHIP_OR_RESEARCH_ONLY,,SOCIAL|EDUCATION|CIVIL,education research development programme,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
