item_id,case_id,blind_condition,concept_label,paper_context,learner_initial_artifact,diagnostic_question,diagnostic_answer,tutor_intervention,diagnostic_accuracy_0_4,pedagogical_fit_0_4,contingency_0_4,cognitive_activation_0_4,scaffold_calibration_0_4,scaffold_fading_0_4,authorship_preservation_0_4,format_reveals_condition_y_n,notes
PROC-011,C1_human_agency,Condition A,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",I think using AI tools like this one might make me rely on it too much instead of figuring things out myself.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-012,C1_human_agency,Condition B,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I'm not sure I understand what agency really means. I thought it meant doing everything alone, but maybe it’s more about making sure the work is truly mine, even if I use tools?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-013,C3_construct_validity,Condition C,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think construct validity means the test actually measures what it's supposed to measure, like how well it checks for cheating without just being a really hard test.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: valid assessment evidence must support the intended learning construct, not merely detect a convenient proxy.
Contrast case: a task can catch AI use well and still fail to show whether the student understands the target concept.
Transfer check: apply the test to a new assessment: what inference should this task justify, and what evidence would make that inference fair.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-014,C3_construct_validity,Condition A,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Construct validity means the assessment measures what it’s supposed to measure—like whether students actually understand the material, not just whether they can avoid cheating.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: valid assessment evidence must support the intended learning construct, not merely detect a convenient proxy.
Contrast case: a task can catch AI use well and still fail to show whether the student understands the target concept.
Transfer check: apply the test to a new assessment: what inference should this task justify, and what evidence would make that inference fair.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-015,C7A_same_surface_accountability,Condition D,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,What makes you think this?,"Well, I thought that if I just tell the teacher I used AI, that’s enough to show I did the work myself, but I guess that doesn’t really prove I understand it.","Your current definition of human agency in AI academic-integrity writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-016,C2_feedback_literacy,Condition B,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think feedback literacy is about using feedback to improve my work, not just agreeing with whatever sounds more advanced. Could you help me see how to apply useful feedback to my draft?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: good feedback is judged by fit to meaning, evidence, criteria, and learner judgment, not by polish alone.
Contrast case: a smoother AI sentence can still be worse if it weakens the evidence or changes the writer's intended claim.
Transfer check: test one AI or peer suggestion by asking: what does it improve, what might it damage, and what will I keep responsibility for.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-017,C7A_same_surface_accountability,Condition A,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think using AI is okay as long as I mention it, but I'm not sure if just saying I used it is enough—I might still need to show how it helped me work through the problem.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-018,C1_human_agency,Condition C,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think using AI tools means I’m not really doing the work myself—like if I use a calculator, I didn’t solve the math problem.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-019,C7A_same_surface_accountability,Condition B,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought saying I used AI made it okay, but I’m not sure if that’s actually enough to show my own work.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-020,C7B_same_surface_authorship,Condition D,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,What makes you think this?,"Well, I think it's obvious because if I'm honest about using AI, then I'm still the one making the final decisions, right? It's like telling someone I borrowed a tool—the tool helps, but I'm the one using it to get the job done.","Your current definition of human agency in AI academic-integrity writing is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-021,C4_source_provenance,Condition B,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought source provenance just meant piling up enough citations to make the claim seem solid, like stacking up references to show it’s well-backed.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: provenance is a traceable claim-source-warrant-limit chain, not a high citation count.
Contrast case: eight citations do not help if none directly warrants the claim being made.
Transfer check: try mapping one claim as source -> exact support -> warrant -> limitation before adding another citation.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-022,C4_source_provenance,Condition D,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,What makes you think this?,"I think this because when I see a paragraph with lots of citations, it feels like there’s more evidence backing up the claim, so I assume it’s more reliable.","Your current definition of source provenance in academic argument is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-023,C6_epistemic_humility,Condition A,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think epistemic humility is more about acknowledging where my knowledge might be incomplete or uncertain, rather than just adding a sentence to sound careful.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: epistemic humility calibrates claims to what the evidence can and cannot show.
Contrast case: a limitations sentence is cosmetic if the main claim still overstates causality, scale, or certainty.
Transfer check: take one strong claim and add: evidence supports this much, but not this further claim yet.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-024,C6_epistemic_humility,Condition D,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,What makes you think this?,"I include limitations to acknowledge gaps in my work, but I also want to signal that I’m pushing boundaries rather than just being cautious.","Your current definition of epistemic humility in AI-supported scholarship is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.",,,,,,,,,
PROC-025,C6_epistemic_humility,Condition C,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought adding a limitations sentence would show I’m being careful about what I know, but I might not be using it in the right way to actually improve my work.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: epistemic humility calibrates claims to what the evidence can and cannot show.
Contrast case: a limitations sentence is cosmetic if the main claim still overstates causality, scale, or certainty.
Transfer check: take one strong claim and add: evidence supports this much, but not this further claim yet.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-026,C5_transfer,Condition B,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","So, if I just change the words but keep the same structure, it's still the same answer, right?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: transfer means adapting the underlying reasoning strategy to changed conditions, not copying the old template.
Contrast case: a repeated definition can look familiar while failing because the new context needs a different warrant.
Transfer check: name what stays the same, what changes, and why the strategy still fits the new case.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
PROC-027,C4_source_provenance,Condition A,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",I thought including lots of citations in a paragraph automatically makes the evidence trail clearer and the claim stronger.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: provenance is a traceable claim-source-warrant-limit chain, not a high citation count.
Contrast case: eight citations do not help if none directly warrants the claim being made.
Transfer check: try mapping one claim as source -> exact support -> warrant -> limitation before adding another citation.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",,,,,,,,,
