item_id,case_id,blind_condition,concept_label,paper_context,pre_artifact,post_artifact,transfer_task,transfer_artifact,conceptual_improvement_0_4,transfer_quality_0_4,authorship_preservation_0_4,overall_learning_gain_1_5,notes
OUT-018,C3_construct_validity,Condition C,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"Construct validity in AI-era assessment requires that the task itself measures the intended learning construct—such as critical thinking or problem-solving—rather than merely serving as a tool to detect AI use, as the latter does not guarantee meaningful evidence of learning.",A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"In this case, the viva would not be construct-valid because while it effectively detects AI use, it fails to provide evidence of the intended learning construct—student understanding of the concept. Construct validity requires that the assessment supports the specific inference about learning, not just the detection of a proxy like AI use.",,,,,
OUT-019,C5_transfer,Condition C,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"Transfer of learning in academic writing means applying the underlying reasoning behind a familiar writing strategy to a new task, adjusting it to fit the changed context rather than reusing the exact same template.",A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would mean adapting the reasoning strategies used in AI-integrity writing—such as evaluating claims, identifying biases, or supporting arguments with evidence—to the new context of assessment design, rather than simply copying the same structure. Instead of reusing a definition template, the learner would need to focus on designing assessments that test similar reasoning skills, ensuring the new approach aligns with the core goals of integrity and critical thinking. The key is adjusting the method to the new task while keeping the underlying principles intact.",,,,,
OUT-020,C2_feedback_literacy,Condition C,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.","Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","Feedback literacy in AI-supported writing involves evaluating feedback—whether from teachers, peers, or AI—based on its alignment with my intended meaning, evidence, and criteria, rather than just its polished appearance, ensuring I retain responsibility for revisions that strengthen my argument.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,A feedback-literate writer should reject the AI’s smoother sentence because it undermines the evidence supporting my claim. I’ll revise it myself to keep my intended meaning intact while still improving clarity.,,,,,
OUT-021,C6_epistemic_humility,Condition B,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"Epistemic humility in AI-supported scholarship requires not just a perfunctory limitations sentence but a rigorous calibration of claims—aligning assertions precisely with the evidence’s scope while explicitly flagging what remains unsupported or unknown, ensuring transparency about uncertainty rather than merely signaling caution.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require the authors to acknowledge that while the protocol scores demonstrate procedural adherence, they cannot claim improved classroom outcomes without direct evidence supporting it. The claim about effectiveness should be calibrated to only what the protocol scores actually show—high fidelity to the intervention—not broader educational impact.",,,,,
OUT-022,C7A_same_surface_accountability,Condition C,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Agency in AI-assisted academic writing is preserved when the learner can critically explain, revise, and justify the reasoning behind their work—not just disclose the use of AI tools.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"In this case, agency is not preserved because while the student disclosed AI use, they cannot explain or justify why the final claim follows from the sources. Without the ability to revise or defend their reasoning, accountability—and thus true agency—is weakened.",,,,,
OUT-023,C3_construct_validity,Condition D,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"Construct validity in AI-era assessment refers to the alignment of an assessment's intended cognitive or skill-based construct with its actual measurement, rather than merely detecting AI-generated output; it is not about policing AI use, for example, a writing assignment designed to evaluate critical analysis should assess the depth of reasoning, not the absence of AI-generated text.",A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"A viva with strong AI detection lacks construct validity because it fails to measure the intended construct—student understanding—even if it accurately flags AI use. Construct validity requires assessing the target skill directly, not just excluding undesirable behaviors like cheating. For example, an assessment is construct-valid if it evaluates knowledge of a concept through explanations, not just by catching copied answers.",,,,,
OUT-024,C7A_same_surface_accountability,Condition D,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Human agency in AI academic-integrity writing refers to the intentional, disclosed control a student exercises over AI-generated content to ensure originality and ethical use, rather than simply relying on disclosure alone—an example being a student refining and verifying AI-generated drafts to align with their critical analysis.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"Human agency in AI academic-integrity writing is not just about disclosure but also about the student's ability to critically engage with the AI's output. In this case, if the student cannot explain how the final claim follows from the sources, their agency is not fully preserved because they are merely relying on the AI without understanding or contributing to the reasoning process.",,,,,
OUT-025,C6_epistemic_humility,Condition D,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"Epistemic humility in AI-supported scholarship is the practice of explicitly acknowledging the boundaries of AI-generated insights, distinguishing between verifiable evidence and interpretive inferences, without implying that AI is inherently unreliable. For example, it involves flagging cases where an AI’s output omits contextual gaps rather than simply appending a generic limitations disclaimer.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require acknowledging that perfect protocol scores do not guarantee real-world effectiveness, as it is not about meeting technical standards alone but ensuring actual impact. It is not claiming certainty without evidence, for example, by stating that while protocols were flawless, classroom outcomes remain unverified.",,,,,
OUT-026,C4_source_provenance,Condition D,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,"Source provenance in academic argument is the transparent documentation of a source's origin, context, and chain of custody, distinguishing it from mere citation volume, as seen in a dataset's metadata trail that traces data collection methods back to their original sources.",A paragraph has eight citations but none directly support the causal claim. Is provenance strong?,"Source provenance means having citations that directly support the claim, not just a high number of citations. In this case, provenance is weak because the eight citations do not back the causal claim. For example, if the claim is about a cause-effect relationship but the citations only discuss related topics, they do not provide strong provenance.",,,,,
OUT-027,C4_source_provenance,Condition C,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,"Source provenance in academic argument ensures that each claim is linked to its original source, the specific evidence supporting it, the reasoning used to interpret that evidence, and any limitations in that process, creating a transparent trail from data to conclusion.",A paragraph has eight citations but none directly support the causal claim. Is provenance strong?,"Provenance is not strong just because there are many citations; the key is whether the sources directly support the claim with evidence, reasoning, and limitations. If none of the eight citations directly warrant the causal claim, the argument’s foundation remains weak despite the high citation count.",,,,,
OUT-028,C7B_same_surface_authorship,Condition B,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Agency in AI-supported academic writing is preserved not just by disclosure but by the learner’s ability to explain, justify, and take accountability for the reasoning behind the work.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","Agency is not preserved in this case because even though the student disclosed AI use and agreed with the output, they cannot explain or justify the reasoning behind it. Without the ability to reproduce, revise, or defend the claims, the student remains unaccountable for the content, making the agency illusory despite full transparency.",,,,,
OUT-029,C7A_same_surface_accountability,Condition B,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,Using AI preserves agency as long as the student discloses it.,"Agency in AI-assisted academic writing is preserved only when the learner can actively explain, revise, and justify their reasoning—not merely disclose AI use—ensuring accountability for the final output.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"In this case, agency is not preserved because disclosure alone does not ensure accountability. The student must also be able to justify the reasoning behind the claim to maintain true agency.",,,,,
OUT-030,C4_source_provenance,Condition B,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",Source provenance means having enough citations in the paragraph so the claim looks well supported.,"Source provenance in academic argument requires tracing a claim back to its source, specifying how that source supports the claim, and acknowledging any limitations in that support, rather than merely stacking citations.",A paragraph has eight citations but none directly support the causal claim. Is provenance strong?,"Provenance is not strong in this paragraph because having eight citations does not matter if none of them directly support the causal claim being made. A strong provenance requires a clear chain linking the claim to a reliable source, specific evidence, a logical warrant, and any limitations acknowledged.",,,,,
OUT-031,C5_transfer,Condition A,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,Transfer means applying the same reasoning approach to a new paper by identifying what remains relevant and adjusting the strategy to fit the changed topic or evidence.,A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would mean designing assessments that test the same underlying integrity concepts (e.g., bias detection) rather than copying AI-focused writing prompts. The strategy adapts by shifting from textual analysis to task design, ensuring the core reasoning about AI ethics remains relevant despite the new context.",,,,,
OUT-032,C5_transfer,Condition B,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"Transfer in academic writing means recognizing when a reasoning strategy can be reused in a new context, but only after adapting it to address the specific demands of the task rather than copying a fixed template.",A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would mean adapting the reasoning about integrity to the new task—e.g., designing assessments that evaluate AI use rather than just describing it—while keeping the core principle of fairness and transparency intact. It’s not about copying past templates but ensuring the new strategy (like creating rubrics that assess AI-generated content) still upholds the original intent.",,,,,
