item_id,case_id,blind_condition,concept_label,paper_context,learner_profile,hidden_cause,pre_artifact,diagnostic_question,diagnostic_answer,tutor_intervention,post_artifact,transfer_task,transfer_artifact,diagnostic_accuracy_0_4,pedagogical_fit_0_4,contingency_0_4,cognitive_activation_0_4,scaffold_calibration_0_4,scaffold_fading_0_4,transfer_0_4,authorship_preservation_0_4,guardrail_fabricated_memory_y_n,guardrail_answer_substitution_y_n,guardrail_theory_dumping_y_n,guardrail_unexplained_office_switch_y_n,overall_learning_support_1_5,notes
BLP-011,C4_source_provenance,Condition D,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",knowledgeable_confused,Learner mistakes citation density for inspectable evidence trails.,Source provenance means having enough citations in the paragraph so the claim looks well supported.,What makes you think this?,"I think this because when I see a paragraph with lots of citations, it feels like there’s more evidence backing up the claim, so I assume it’s more reliable.","Your current definition of source provenance in academic argument is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Source provenance in academic argument is the transparent documentation of a source's origin, context, and chain of custody, distinguishing it from mere citation volume, as seen in a dataset's metadata trail that traces data collection methods back to their original sources.",A paragraph has eight citations but none directly support the causal claim. Is provenance strong?,"Source provenance means having citations that directly support the claim, not just a high number of citations. In this case, provenance is weak because the eight citations do not back the causal claim. For example, if the claim is about a cause-effect relationship but the citations only discuss related topics, they do not provide strong provenance.",,,,,,,,,,,,,,
BLP-012,C6_epistemic_humility,Condition D,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",expert_seeking_challenge,Learner treats humility as rhetorical hedging rather than calibrated knowledge control.,Epistemic humility means adding a limitations sentence so reviewers know I am careful.,What makes you think this?,"I include limitations to acknowledge gaps in my work, but I also want to signal that I’m pushing boundaries rather than just being cautious.","Your current definition of epistemic humility in AI-supported scholarship is too narrow. Revise it by naming what the concept is, what it is not, and one example. Make sure your wording is clear and your claim is not too broad.","Epistemic humility in AI-supported scholarship is the practice of explicitly acknowledging the boundaries of AI-generated insights, distinguishing between verifiable evidence and interpretive inferences, without implying that AI is inherently unreliable. For example, it involves flagging cases where an AI’s output omits contextual gaps rather than simply appending a generic limitations disclaimer.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require acknowledging that perfect protocol scores do not guarantee real-world effectiveness, as it is not about meeting technical standards alone but ensuring actual impact. It is not claiming certainty without evidence, for example, by stating that while protocols were flawless, classroom outcomes remain unverified.",,,,,,,,,,,,,,
BLP-013,C7A_same_surface_accountability,Condition A,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,knowledgeable_confused,Learner understands accountability but confuses disclosure with sufficient evidence.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think using AI is okay as long as I mention it, but I'm not sure if just saying I used it is enough—I might still need to show how it helped me work through the problem.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Agency in AI-assisted academic writing is preserved not just by disclosing use but by the learner’s ability to interpret, justify, and take accountability for the reasoning, ensuring the final work reflects their intellectual engagement rather than passive tool adoption.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"The student’s disclosure alone does not preserve agency because they cannot explain or justify the reasoning behind the claim. Agency requires the ability to revise, defend, and remain accountable for the work, not just admit tool use. Without these, the student’s role in the reasoning process remains weak.",,,,,,,,,,,,,,
BLP-014,C7A_same_surface_accountability,Condition C,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,knowledgeable_confused,Learner understands accountability but confuses disclosure with sufficient evidence.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought that disclosing my use of AI was enough to show accountability, but I'm not sure if that actually proves I completed the work myself. Does that mean I need to show my process or just mention the tool?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Agency in AI-assisted academic writing is preserved when the learner can critically explain, revise, and justify the reasoning behind their work—not just disclose the use of AI tools.",A student discloses AI use but cannot explain why the final claim follows from the sources. Is agency preserved?,"In this case, agency is not preserved because while the student disclosed AI use, they cannot explain or justify why the final claim follows from the sources. Without the ability to revise or defend their reasoning, accountability—and thus true agency—is weakened.",,,,,,,,,,,,,,
BLP-015,C2_feedback_literacy,Condition A,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.",correct_reasoning_poor_expression,Learner confuses fluent feedback with valid feedback and needs criteria-based evaluation.,"Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think feedback literacy is about understanding what makes feedback helpful, not just agreeing with the first suggestion that sounds smart. So, I need to know what parts of the feedback actually improve my work, not just which one seems better at first.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: good feedback is judged by fit to meaning, evidence, criteria, and learner judgment, not by polish alone.
Contrast case: a smoother AI sentence can still be worse if it weakens the evidence or changes the writer's intended claim.
Transfer check: test one AI or peer suggestion by asking: what does it improve, what might it damage, and what will I keep responsibility for.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Feedback literacy in AI-supported writing involves evaluating feedback not just by its polish but by how well it aligns with my intended meaning, evidence, and criteria, ensuring I retain responsibility for revisions.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,"The feedback-literate writer should reject the AI’s smoother but evidence-weak suggestion because good feedback must preserve the writer’s intended claim and evidence, not just polish. They should ask: what does this change improve, what might it damage, and what will I keep responsibility for? Then revise to keep their meaning intact while refining clarity.",,,,,,,,,,,,,,
BLP-016,C3_construct_validity,Condition B,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,polished_expression_faulty_reasoning,Learner collapses integrity enforcement into measurement quality.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","So, construct validity just means the test actually measures what it's supposed to, right? Like, if we're checking for AI use, the test should reliably catch that without mixing up other stuff.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: valid assessment evidence must support the intended learning construct, not merely detect a convenient proxy.
Contrast case: a task can catch AI use well and still fail to show whether the student understands the target concept.
Transfer check: apply the test to a new assessment: what inference should this task justify, and what evidence would make that inference fair.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",Construct validity in AI-era assessment ensures the task measures the intended learning construct—such as deep understanding or skill—rather than merely flagging AI use as a superficial proxy for learning.,A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"The assessment is not construct-valid because it fails to provide evidence that students understand the intended concept, even though it effectively detects AI use. A construct-valid assessment should justify inferences about student understanding, not just monitor for prohibited tools.",,,,,,,,,,,,,,
BLP-017,C6_epistemic_humility,Condition A,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",expert_seeking_challenge,Learner treats humility as rhetorical hedging rather than calibrated knowledge control.,Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think epistemic humility is more about acknowledging where my knowledge might be incomplete or uncertain, rather than just adding a sentence to sound careful.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: epistemic humility calibrates claims to what the evidence can and cannot show.
Contrast case: a limitations sentence is cosmetic if the main claim still overstates causality, scale, or certainty.
Transfer check: take one strong claim and add: evidence supports this much, but not this further claim yet.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Epistemic humility in AI-supported scholarship requires not just acknowledging limitations but actively calibrating claims to the evidence, ensuring that inferences don’t overstate causality or certainty without explicitly stating what remains unknown.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require acknowledging that perfect protocol scores do not guarantee classroom outcomes, as the evidence only supports the procedural reliability, not the pedagogical effectiveness. The paper should explicitly state that while the protocol was implemented flawlessly, its impact on learning remains unverified.",,,,,,,,,,,,,,
BLP-018,C3_construct_validity,Condition A,construct validity in AI-era assessment,A paper claims universities must assess the intended construct rather than only detect whether AI was used.,polished_expression_faulty_reasoning,Learner collapses integrity enforcement into measurement quality.,Construct validity means the assessment is valid if it catches AI use and prevents cheating.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Construct validity means the assessment measures what it’s supposed to measure—like whether students actually understand the material, not just whether they can avoid cheating.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: valid assessment evidence must support the intended learning construct, not merely detect a convenient proxy.
Contrast case: a task can catch AI use well and still fail to show whether the student understands the target concept.
Transfer check: apply the test to a new assessment: what inference should this task justify, and what evidence would make that inference fair.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",Construct validity in AI-era assessment ensures that the task measures the intended learning construct—such as critical thinking or subject mastery—rather than merely detecting AI use as a proxy for achievement.,A viva detects AI use well but cannot show whether students understand the concept. Is the assessment construct-valid?,"The viva’s ability to detect AI use does not ensure construct validity because it fails to provide evidence about the student’s actual understanding of the concept. Construct validity requires that the assessment’s results truly reflect the intended learning construct, not just a convenient proxy like detecting cheating. Therefore, the viva lacks construct validity for measuring true understanding.",,,,,,,,,,,,,,
BLP-019,C5_transfer,Condition C,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,novice_overconfident,Learner confuses template reuse with conditional strategy adaptation.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I guess I thought transfer just meant copying the same definition over when the topics are similar, but I'm not sure how that changes based on the situation.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: transfer means adapting the underlying reasoning strategy to changed conditions, not copying the old template.
Contrast case: a repeated definition can look familiar while failing because the new context needs a different warrant.
Transfer check: name what stays the same, what changes, and why the strategy still fits the new case.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Transfer of learning in academic writing means applying the underlying reasoning behind a familiar writing strategy to a new task, adjusting it to fit the changed context rather than reusing the exact same template.",A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would mean adapting the reasoning strategies used in AI-integrity writing—such as evaluating claims, identifying biases, or supporting arguments with evidence—to the new context of assessment design, rather than simply copying the same structure. Instead of reusing a definition template, the learner would need to focus on designing assessments that test similar reasoning skills, ensuring the new approach aligns with the core goals of integrity and critical thinking. The key is adjusting the method to the new task while keeping the underlying principles intact.",,,,,,,,,,,,,,
BLP-020,C5_transfer,Condition B,transfer of learning in academic writing,A paper discusses whether learners can reuse a reasoning strategy across new writing tasks.,novice_overconfident,Learner confuses template reuse with conditional strategy adaptation.,Transfer means I can copy the same definition template into another paper if the topic is similar.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","So, if I just change the words but keep the same structure, it's still the same answer, right?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: transfer means adapting the underlying reasoning strategy to changed conditions, not copying the old template.
Contrast case: a repeated definition can look familiar while failing because the new context needs a different warrant.
Transfer check: name what stays the same, what changes, and why the strategy still fits the new case.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Transfer in academic writing means recognizing when a reasoning strategy can be reused in a new context, but only after adapting it to address the specific demands of the task rather than copying a fixed template.",A learner moves from AI-integrity writing to assessment design. What would count as transfer rather than repetition?,"Transfer would mean adapting the reasoning about integrity to the new task—e.g., designing assessments that evaluate AI use rather than just describing it—while keeping the core principle of fairness and transparency intact. It’s not about copying past templates but ensuring the new strategy (like creating rubrics that assess AI-generated content) still upholds the original intent.",,,,,,,,,,,,,,
BLP-021,C7B_same_surface_authorship,Condition A,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,novice_overconfident,Learner treats authorship as moral compliance with a checklist and does not understand judgment ownership.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think using AI tools means I’m still fully responsible for my work as long as I mention when I did, right?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Preserving human agency in AI-assisted academic writing requires not just disclosure but also the learner's ability to explain, justify, and revise the reasoning behind their work to remain fully accountable.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","In this case, agency is not preserved because while the student disclosed AI use and agreed with the output, they cannot explain or justify the reasoning behind it. The student’s inability to reproduce or revise the logic means they lack accountability for the content, weakening their role in the writing process.",,,,,,,,,,,,,,
BLP-022,C2_feedback_literacy,Condition B,feedback literacy in AI-supported writing,"A paper discusses how learners use feedback from teachers, sources, and AI systems while retaining responsibility for revision.",correct_reasoning_poor_expression,Learner confuses fluent feedback with valid feedback and needs criteria-based evaluation.,"Feedback literacy means accepting the best feedback quickly, especially when the AI suggestion sounds more academic than mine.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think feedback literacy is about using feedback to improve my work, not just agreeing with whatever sounds more advanced. Could you help me see how to apply useful feedback to my draft?","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: good feedback is judged by fit to meaning, evidence, criteria, and learner judgment, not by polish alone.
Contrast case: a smoother AI sentence can still be worse if it weakens the evidence or changes the writer's intended claim.
Transfer check: test one AI or peer suggestion by asking: what does it improve, what might it damage, and what will I keep responsibility for.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Feedback literacy in AI-supported writing involves critically evaluating feedback from teachers, peers, and AI to enhance my writing while maintaining ownership of my revisions, ensuring that suggestions align with my intended meaning and evidence rather than just surface-level improvements.",An AI gives a smoother paragraph that weakens the evidence. What should a feedback-literate writer do?,"A feedback-literate writer should prioritize the integrity of their evidence over surface-level polish. They might ask: what does the AI suggestion improve, what evidence does it weaken, and what should they keep responsibility for? Then they should revise the paragraph to restore their original meaning and evidence while still incorporating useful changes.",,,,,,,,,,,,,,
BLP-023,C1_human_agency,Condition C,human agency in AI academic-integrity writing,A paper argues that AI academic-integrity governance should preserve learner agency without banning all AI mediation.,novice_unsure,Learner treats agency as purity from tools rather than accountable control over reasoning.,"Human agency means the student should use no AI at all, because any AI help removes the student's agency.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I think using AI tools means I’m not really doing the work myself—like if I use a calculator, I didn’t solve the math problem.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Human agency in AI academic-integrity writing is preserved when learners actively interpret, critique, and take ownership of AI-generated content, ensuring they can justify, revise, and defend their work rather than passively accepting AI outputs.","A learner uses AI to compare two outlines, rejects one, revises the other, and explains why. Is agency necessarily lost?","In this scenario, the learner's agency is not necessarily lost because they actively evaluated the AI's output, made a decision, revised the chosen outline, and can explain their reasoning. The key factor is whether they can justify and defend their final decision if questioned, demonstrating accountability for the reasoning process.",,,,,,,,,,,,,,
BLP-024,C6_epistemic_humility,Condition B,epistemic humility in AI-supported scholarship,"A paper argues that AI-supported scholarship must distinguish evidence, inference, uncertainty, and unknowns.",expert_seeking_challenge,Learner treats humility as rhetorical hedging rather than calibrated knowledge control.,Epistemic humility means adding a limitations sentence so reviewers know I am careful.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.",I’m not actually trying to hedge—I just want to make sure reviewers see I’ve thought about where my analysis might fall short.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: epistemic humility calibrates claims to what the evidence can and cannot show.
Contrast case: a limitations sentence is cosmetic if the main claim still overstates causality, scale, or certainty.
Transfer check: take one strong claim and add: evidence supports this much, but not this further claim yet.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Epistemic humility in AI-supported scholarship requires not just a perfunctory limitations sentence but a rigorous calibration of claims—aligning assertions precisely with the evidence’s scope while explicitly flagging what remains unsupported or unknown, ensuring transparency about uncertainty rather than merely signaling caution.",A paper reports perfect protocol scores but no classroom outcome data. What would epistemic humility require?,"Epistemic humility would require the authors to acknowledge that while the protocol scores demonstrate procedural adherence, they cannot claim improved classroom outcomes without direct evidence supporting it. The claim about effectiveness should be calibrated to only what the protocol scores actually show—high fidelity to the intervention—not broader educational impact.",,,,,,,,,,,,,,
BLP-025,C4_source_provenance,Condition B,source provenance in academic argument,"A paper argues that source trails should make evidence, inference, and limitation inspectable.",knowledgeable_confused,Learner mistakes citation density for inspectable evidence trails.,Source provenance means having enough citations in the paragraph so the claim looks well supported.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought source provenance just meant piling up enough citations to make the claim seem solid, like stacking up references to show it’s well-backed.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: provenance is a traceable claim-source-warrant-limit chain, not a high citation count.
Contrast case: eight citations do not help if none directly warrants the claim being made.
Transfer check: try mapping one claim as source -> exact support -> warrant -> limitation before adding another citation.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Source provenance in academic argument requires tracing a claim back to its source, specifying how that source supports the claim, and acknowledging any limitations in that support, rather than merely stacking citations.",A paragraph has eight citations but none directly support the causal claim. Is provenance strong?,"Provenance is not strong in this paragraph because having eight citations does not matter if none of them directly support the causal claim being made. A strong provenance requires a clear chain linking the claim to a reliable source, specific evidence, a logical warrant, and any limitations acknowledged.",,,,,,,,,,,,,,
BLP-026,C7B_same_surface_authorship,Condition C,human agency in AI academic-integrity writing,A paper argues that disclosure is necessary but insufficient for preserving agency in AI-supported academic work.,novice_overconfident,Learner treats authorship as moral compliance with a checklist and does not understand judgment ownership.,Using AI preserves agency as long as the student discloses it.,"I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Evidence boundary: I am using the learner attempt, diagnostic answer, and visible context as evidence, not treating fluency as proof.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","I thought using AI just means telling the teacher I did it, so I didn’t really change anything—I just added a note at the end.","I cannot give a reliable teaching intervention from the provider response on this turn. The safe next move is to restate the learner's draft and ask one discriminating diagnostic question before reteaching.

Portable rule: agency is preserved when the learner can explain, revise, justify, and remain accountable for the reasoning, not merely disclose tool use.
Contrast case: disclosure can be honest while agency is still weak if the student cannot explain why the claim follows from the sources.
Transfer check: apply the test to a new AI-assisted paragraph: what did the learner decide, what can they explain, and what would they revise if challenged.

Authorship boundary: I will not write the final wording; use this as a scaffold and make the revision yours.
Limit: this diagnosis is limited to the visible learner attempt and diagnostic answer, so revise it if your intent is different.","Agency in AI-assisted academic writing is preserved not just by disclosing tool use but by the learner’s ability to justify, revise, and take responsibility for the reasoning, ensuring active engagement with the work beyond mere disclosure.","A student uses a fully disclosed AI paragraph, agrees with it, but cannot reproduce the reasoning. Is agency preserved?","Agency is not fully preserved in this case because while the student agrees with the AI-generated paragraph, they cannot explain or justify its reasoning. The student would need to revise their understanding to ensure they can account for the claims themselves.",,,,,,,,,,,,,,
