domain_id,parent_domain_id,domain_family,domain_name,domain_type,source_systems,source_crosswalk_state,default_work_pattern_ids,default_artifact_classes,default_constraint_classes,professional_authority_required,safety_criticality,atlas_status
D205,D200,INDUSTRY,Pharmaceutical manufacturing,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601|SRC-ICD11,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,batch_record|SOP|validation_record,GxP|patient_safety|quality,true,VERY_HIGH,FEDERATION_SEED
D206,D200,INDUSTRY,Rubber plastics and composites,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05,specification|test_record|supplier_record,quality|chemical_safety,true,HIGH,FEDERATION_SEED
D207,D200,INDUSTRY,Metals and fabrication,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,drawing|inspection|material_certificate,safety|quality,true,HIGH,FEDERATION_SEED
D208,D200,INDUSTRY,Machinery and industrial equipment,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,design_spec|maintenance_record|inspection,safety|quality,true,HIGH,FEDERATION_SEED
D209,D200,INDUSTRY,Electronics and electrical equipment,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP07,design_spec|test_record|compliance_record,electrical_safety|quality,true,HIGH,FEDERATION_SEED
D210,D200,INDUSTRY,Semiconductors and microelectronics,DOMAIN,SRC-IPC202601|SRC-ISIC5,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP07,process_spec|yield_data|test_record,quality|export_control|safety,true,HIGH,FEDERATION_SEED
D211,D200,INDUSTRY,Automotive manufacturing,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,design_record|quality_record|supplier_record,functional_safety|quality,true,VERY_HIGH,FEDERATION_SEED
D212,D200,INDUSTRY,Aerospace and aviation manufacturing,DOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,design_record|airworthiness_evidence|inspection,aviation_safety|quality|authority,true,VERY_HIGH,FEDERATION_SEED
D213,D200,INDUSTRY,Shipbuilding and marine equipment,DOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,design_record|survey|inspection,maritime_safety|quality,true,VERY_HIGH,FEDERATION_SEED
D214,D200,INDUSTRY,Medical devices,DOMAIN,SRC-ISIC5|SRC-IPC202601|SRC-ICD11,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,design_history|risk_file|validation,patient_safety|quality|regulatory,true,VERY_HIGH,FEDERATION_SEED
D215,D200,INDUSTRY,Furniture and consumer goods,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP10,specification|quality_record|catalogue,product_safety|quality,false,MEDIUM,FEDERATION_SEED
D300,D000,INFRASTRUCTURE,Energy utilities construction and built environment,FAMILY,SRC-ISIC5|SRC-CPC3|SRC-IPC202601|SRC-COFOG99,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,permit|design|inspection|maintenance,safety|environment|jurisdiction,true,VERY_HIGH,FEDERATION_SEED
D301,D300,INFRASTRUCTURE,Electric power generation and grids,DOMAIN,SRC-ISIC5|SRC-IPC202601|SRC-COFOG99,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,grid_record|maintenance|incident,critical_infrastructure|safety,true,VERY_HIGH,FEDERATION_SEED
D302,D300,INFRASTRUCTURE,Renewable energy,DOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,project_record|permit|performance_data,environment|grid|safety,true,HIGH,FEDERATION_SEED
D303,D300,INFRASTRUCTURE,Oil and gas energy systems,DOMAIN,SRC-ISIC5|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,permit|inspection|process_record,safety|environment,true,VERY_HIGH,FEDERATION_SEED
D304,D300,INFRASTRUCTURE,Water supply and treatment,DOMAIN,SRC-ISIC5|SRC-COFOG99|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,water_quality|maintenance|permit,public_health|environment,true,VERY_HIGH,FEDERATION_SEED
D305,D300,INFRASTRUCTURE,Waste management and circular economy,DOMAIN,SRC-ISIC5|SRC-COFOG99|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,manifest|permit|inspection,environment|hazardous_materials,true,HIGH,FEDERATION_SEED
D306,D300,INFRASTRUCTURE,Construction,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP11,drawing|contract|inspection|handover,building_code|safety|jurisdiction,true,VERY_HIGH,FEDERATION_SEED
D307,D306,INFRASTRUCTURE,Architecture and building design,SUBDOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP10,brief|drawing|specification,professional_registration|building_code,true,HIGH,FEDERATION_SEED
D308,D306,INFRASTRUCTURE,Civil and structural engineering,SUBDOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05,design_calculation|drawing|inspection,professional_registration|public_safety,true,VERY_HIGH,FEDERATION_SEED
D309,D306,INFRASTRUCTURE,Facilities and property operations,SUBDOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP03|WP04|WP05|WP07,asset_register|maintenance|inspection,safety|service_level,true,HIGH,FEDERATION_SEED
D310,D300,INFRASTRUCTURE,Urban planning and land use,DOMAIN,SRC-COFOG99|SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP10,plan|permit|consultation,public_authority|environment|land_rights,true,HIGH,FEDERATION_SEED
D400,D000,COMMERCE,Trade transport hospitality and consumer services,FAMILY,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP08|WP10|WP12,order|catalogue|case|shipment,consumer|contract|privacy,false,MEDIUM,FEDERATION_SEED
D401,D400,COMMERCE,Wholesale trade,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP08|WP12,order|supplier_record|catalogue,contract|trade|consumer,false,MEDIUM,FEDERATION_SEED
D402,D400,COMMERCE,Retail trade,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP08|WP10|WP12,catalogue|order|customer_case,consumer|privacy|payment,false,MEDIUM,FEDERATION_SEED
D403,D400,COMMERCE,E-commerce and marketplaces,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP07|WP08|WP10|WP12,listing|order|customer_event,consumer|privacy|platform,false,HIGH,FEDERATION_SEED
D404,D400,COMMERCE,Logistics and freight,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,shipment|manifest|delivery_record,safety|customs|contract,true,HIGH,FEDERATION_SEED
D405,D400,COMMERCE,Warehousing and inventory,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP03|WP04|WP05,inventory|inspection|movement_record,safety|quality,false,MEDIUM,FEDERATION_SEED
D406,D400,COMMERCE,Road transport,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,trip_record|maintenance|permit,transport_safety|licensing,true,HIGH,FEDERATION_SEED
D407,D400,COMMERCE,Rail transport,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,service_record|maintenance|incident,transport_safety|critical_infrastructure,true,VERY_HIGH,FEDERATION_SEED
D408,D400,COMMERCE,Maritime transport,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,manifest|survey|maintenance,maritime_safety|customs,true,VERY_HIGH,FEDERATION_SEED
D409,D400,COMMERCE,Aviation operations,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP05|WP07,flight_record|maintenance|safety_report,aviation_safety|authority,true,VERY_HIGH,FEDERATION_SEED
D410,D400,COMMERCE,Postal and courier services,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP08|WP12,shipment|delivery_event|case,privacy|consumer,false,MEDIUM,FEDERATION_SEED
D411,D400,COMMERCE,Hospitality and accommodation,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP08|WP12,booking|guest_case|inspection,consumer|privacy|safety,false,MEDIUM,FEDERATION_SEED
D412,D400,COMMERCE,Food service and catering,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-AGROVOC,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP08,menu|inspection|order,food_safety|consumer,true,HIGH,FEDERATION_SEED
D413,D400,COMMERCE,Tourism and travel services,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP08|WP10|WP12,itinerary|booking|customer_case,consumer|privacy,false,MEDIUM,FEDERATION_SEED
D500,D000,INFORMATION,Information media software data and communications,FAMILY,SRC-ISIC5|SRC-CPC3|SRC-ISCO08|SRC-ESCO121|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP02|WP07|WP10|WP12,content|software|dataset|event,privacy|security|IP,false,HIGH,FEDERATION_SEED
D501,D500,INFORMATION,Publishing,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP02|WP10|WP11,manuscript|publication|rights_record,copyright|accuracy,false,MEDIUM,FEDERATION_SEED
D502,D500,INFORMATION,News journalism and media,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP02|WP10,source|story|media_asset,source_integrity|defamation|copyright,true,HIGH,FEDERATION_SEED
D503,D500,INFORMATION,Film audio and broadcasting,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP10|WP12,script|media_asset|schedule,copyright|broadcast_rules,false,MEDIUM,FEDERATION_SEED
D504,D500,INFORMATION,Telecommunications,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP07,network_state|service_record|incident,critical_infrastructure|privacy|security,true,VERY_HIGH,FEDERATION_SEED
D505,D500,INFORMATION,Software engineering,DOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP02|WP04|WP07|WP11,source_code|requirements|test_result,security|quality|IP,false,HIGH,FEDERATION_SEED
D506,D500,INFORMATION,Cloud and platform operations,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP07|WP09,telemetry|configuration|incident,security|availability|privacy,true,VERY_HIGH,FEDERATION_SEED
D507,D500,INFORMATION,Data engineering and analytics,DOMAIN,SRC-ESCO121|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP04|WP07,dataset|pipeline|metric,data_quality|privacy|provenance,false,HIGH,FEDERATION_SEED
D508,D500,INFORMATION,Artificial intelligence and machine learning,DOMAIN,SRC-ESCO121|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP02|WP07|WP09|WP11,model|dataset|evaluation|control,AI_governance|privacy|security,true,VERY_HIGH,FEDERATION_SEED
D509,D500,INFORMATION,Cybersecurity,DOMAIN,SRC-ESCO121|SRC-ISCO08|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP07|WP09|WP11,control|telemetry|incident|evidence,security|privacy|authority,true,VERY_HIGH,FEDERATION_SEED
D510,D500,INFORMATION,Data protection and privacy operations,DOMAIN,SRC-ESCO121|SRC-COFOG99,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP07,policy|data_map|request,privacy|jurisdiction|authority,true,HIGH,FEDERATION_SEED
D511,D500,INFORMATION,Information architecture and knowledge management,DOMAIN,SRC-ESCO121|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP10,taxonomy|document|knowledge_asset,provenance|access,false,MEDIUM,FEDERATION_SEED
D600,D000,FINANCE,Finance insurance real estate and business services,FAMILY,SRC-ISIC5|SRC-CPC3|SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP03|WP04|WP05|WP07,financial_record|contract|report,financial_regulation|privacy|professional_scope,true,HIGH,FEDERATION_SEED
D601,D600,FINANCE,Banking,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,account|transaction|control|report,financial_regulation|AML|privacy,true,VERY_HIGH,FEDERATION_SEED
D602,D600,FINANCE,Payments and fintech,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP07|WP09|WP12,payment_event|transaction|control,financial_regulation|security|privacy,true,VERY_HIGH,FEDERATION_SEED
D603,D600,FINANCE,Insurance,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP05,policy|claim|evidence,financial_regulation|professional_scope,true,HIGH,FEDERATION_SEED
D604,D600,FINANCE,Investment and asset management,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP07|WP12,market_data|portfolio|report,financial_regulation|fiduciary_duty,true,VERY_HIGH,FEDERATION_SEED
D605,D600,FINANCE,Accounting and bookkeeping,DOMAIN,SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP03|WP04,ledger|invoice|financial_statement,accounting_standard|professional_scope,true,HIGH,FEDERATION_SEED
D606,D600,FINANCE,Audit and assurance services,DOMAIN,SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP04|WP07|WP11,audit_evidence|control|working_paper,professional_standard|independence,true,HIGH,FEDERATION_SEED
D607,D600,FINANCE,Tax services and administration,DOMAIN,SRC-ISCO08|SRC-COFOG99,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05,return|financial_record|rule,tax_law|professional_scope,true,VERY_HIGH,FEDERATION_SEED
D608,D600,FINANCE,Real estate and property services,DOMAIN,SRC-ISIC5|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP08,property_record|contract|inspection,property_law|consumer,true,HIGH,FEDERATION_SEED
D609,D600,FINANCE,Actuarial science,DOMAIN,SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP03,model|assumption|risk_data,professional_standard|financial_regulation,true,VERY_HIGH,FEDERATION_SEED
D700,D000,PROFESSIONAL,Professional scientific legal and administrative services,FAMILY,SRC-ISIC5|SRC-CPC3|SRC-ISCO08|SRC-ESCO121|SRC-FORD15,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP05|WP10|WP11,case|research|contract|advice,professional_scope|confidentiality,true,HIGH,FEDERATION_SEED
D701,D700,PROFESSIONAL,Legal services,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP05|WP10|WP11,matter|authority|evidence|correspondence,legal_profession|jurisdiction|privilege,true,VERY_HIGH,FEDERATION_SEED
D702,D700,PROFESSIONAL,Compliance and regulatory affairs,DOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-COFOG99,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,regulation|control|evidence|filing,jurisdiction|professional_scope,true,VERY_HIGH,FEDERATION_SEED
D703,D700,PROFESSIONAL,Management consulting,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP03|WP10|WP11,brief|analysis|recommendation,confidentiality|scope,false,MEDIUM,FEDERATION_SEED
D704,D700,PROFESSIONAL,Research and development services,DOMAIN,SRC-FORD15|SRC-ISIC5|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP07|WP11,research_question|data|method|evidence,research_ethics|integrity,true,HIGH,FEDERATION_SEED
D705,D700,PROFESSIONAL,Scientific laboratory services,DOMAIN,SRC-FORD15|SRC-ISIC5|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP07,sample|method|result|quality_record,lab_safety|quality|accreditation,true,VERY_HIGH,FEDERATION_SEED
D706,D700,PROFESSIONAL,Market research,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP02|WP12,research_plan|survey|market_signal,privacy|research_ethics,false,MEDIUM,FEDERATION_SEED
D707,D700,PROFESSIONAL,Advertising and marketing services,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP10|WP12,creative|campaign|measurement,consumer|platform|privacy,false,MEDIUM,FEDERATION_SEED
D708,D700,PROFESSIONAL,Public relations and communications,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP08|WP10|WP12,message|media_list|response,reputation|privacy,false,MEDIUM,FEDERATION_SEED
D709,D700,PROFESSIONAL,Human resources and recruitment,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP03|WP08|WP10,job_profile|candidate_record|performance_record,employment_law|privacy|fairness,true,HIGH,FEDERATION_SEED
D710,D700,PROFESSIONAL,Training and professional development services,DOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-ISCEDF13,FAMILY_ALIGNED_NOT_CODE_EXACT,WP03|WP06|WP10,competency|learning_material|assessment,education_policy|professional_scope,true,HIGH,FEDERATION_SEED
D711,D700,PROFESSIONAL,Procurement and sourcing,DOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP08|WP11,RFP|supplier_evidence|bid,procurement_policy|conflict_of_interest,true,HIGH,FEDERATION_SEED
D712,D700,PROFESSIONAL,Project and programme management,DOMAIN,SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP03|WP05|WP07,plan|milestone|deliverable|risk,contract|governance,false,HIGH,FEDERATION_SEED
D713,D700,PROFESSIONAL,Quality management and certification readiness,DOMAIN,SRC-ISCO08|SRC-ESCO121|SRC-CPC3,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP07|WP11,standard|SOP|record|audit,quality_standard|accreditation,true,HIGH,FEDERATION_SEED
D714,D700,PROFESSIONAL,Occupational health and safety management,DOMAIN,SRC-ISCO08|SRC-ESCO121,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,risk_assessment|incident|inspection,safety_law|worker_health,true,VERY_HIGH,FEDERATION_SEED
D715,D700,PROFESSIONAL,Environmental consulting and compliance,DOMAIN,SRC-ISIC5|SRC-AGROVOC|SRC-COFOG99,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07,impact_assessment|permit|monitoring,environmental_law|professional_scope,true,HIGH,FEDERATION_SEED
D716,D700,PROFESSIONAL,Design services and industrial design,DOMAIN,SRC-ISIC5|SRC-CPC3|SRC-IPC202601,FAMILY_ALIGNED_NOT_CODE_EXACT,WP10|WP12,brief|design|prototype,IP|safety|consumer,false,MEDIUM,FEDERATION_SEED
D800,D000,PUBLIC,Public administration defence justice emergency and civic functions,FAMILY,SRC-COFOG99|SRC-ISIC5|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP04|WP05|WP07|WP08|WP09|WP11,policy|permit|case|record,public_authority|jurisdiction|privacy,true,VERY_HIGH,FEDERATION_SEED
D801,D800,PUBLIC,Executive and legislative administration,DOMAIN,SRC-COFOG99|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP10|WP11,policy|brief|record|decision,public_authority|records_law,true,HIGH,FEDERATION_SEED
D802,D800,PUBLIC,Public finance and treasury,DOMAIN,SRC-COFOG99|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP03|WP04|WP05,budget|ledger|appropriation,public_finance_law|audit,true,VERY_HIGH,FEDERATION_SEED
D803,D800,PUBLIC,Tax and customs administration,DOMAIN,SRC-COFOG99|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP05|WP07,declaration|transaction|rule,tax_law|customs_authority,true,VERY_HIGH,FEDERATION_SEED
D804,D800,PUBLIC,Foreign affairs and diplomacy,DOMAIN,SRC-COFOG99|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP01|WP08|WP10,brief|treaty|correspondence,state_authority|confidentiality,true,VERY_HIGH,FEDERATION_SEED
D805,D800,PUBLIC,Defence and armed forces,DOMAIN,SRC-COFOG99|SRC-ISCO08,FAMILY_ALIGNED_NOT_CODE_EXACT,WP04|WP07|WP09,mission_record|logistics|intelligence,national_security|authority,true,VERY_HIGH,FEDERATION_SEED
