incarnation,suite,primary_family,source_work_patterns,canonical_work_pattern_ids,candidate_work_pattern_ids,atlas_domain_ids,build_burden,validation_burden,capability_cost_score,capability_cost,source_maturity,execution_truth_class,metamorphic_registry_binding,analogy_state,notes
QualityProof,Evidence & Assurance,META,"Quality; Evidence","WP04|WP01",,D713|D200,3,4,3.5,HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
CertificationProof,Evidence & Assurance,META,"Quality; Evidence","WP04|WP01",,D1704|D713,3,4,3.5,HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
PolicyProof,Evidence & Assurance,META,"Obligation; Assurance","WP05|WP07",,D1705|D801,3,3,3.0,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
ContractProof,Evidence & Assurance,META,"Obligation; Evidence","WP05|WP01",,D1706|D1508,2,3,2.5,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
DiligenceRoom,Evidence & Assurance,META Room,"Evidence; Proof","WP01|WP11",,D1716|D600,3,3,3.0,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
AssuranceRoom,Evidence & Assurance,META Room,"Proof; Assurance","WP11|WP07",,D1712|D1705,2,3,2.5,MEDIUM,META primitive,PORTFOLIO_META_PRIMITIVE,NOT_M1_BOUND,CROSSWALKED,
DIO AI Assurance,AI & Digital Trust,META + BEAST + Seraph,"Assurance; Authority","WP07|WP09",,D1713|D508,4,4,4.0,HIGH,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
ModelProof,AI & Digital Trust,BEAST + META,"Assurance; Proof","WP07|WP11",,D1713|D508,4,4,4.0,HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
Agent Authority,AI & Digital Trust,META Authority,Authority,WP09,,D1713|D508,5,5,5.0,VERY_HIGH,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
ReleaseProof,AI & Digital Trust,BEAST + META,"Assurance; Authority","WP07|WP09",,D1718|D505|D508,4,4,4.0,HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
ChangeProof,AI & Digital Trust,BEAST + META,"Assurance; Evidence","WP07|WP01",,D1718|D505|D508,3,3,3.0,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
AI IncidentRoom,AI & Digital Trust,Seraph + META,"Integrity; Assurance; Proof","WP02|WP07|WP11",,D1714|D508,4,5,4.5,VERY_HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
CriticalAI Assurance,AI & Digital Trust,BEAST + Seraph + ARDA,"Assurance; Authority","WP07|WP09",,D1713|D301|D508,5,5,5.0,VERY_HIGH,Concept composed,PORTFOLIO_CONCEPT_COMPOSED,NOT_M1_BOUND,CROSSWALKED,
CyberAssurance,AI & Digital Trust,Seraph + META,Assurance,WP07,,D509|D1719,4,4,4.0,HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
ControlDrift,AI & Digital Trust,META Assurance,Assurance,WP07,,D1719|D1510,3,3,3.0,MEDIUM,META foundation,PORTFOLIO_META_FOUNDATION,NOT_M1_BOUND,CROSSWALKED,
SupplierCyberProof,AI & Digital Trust,VendorProof + Seraph,"Evidence; Assurance","WP01|WP07",,D1717|D509,4,4,4.0,HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
IncidentProof,AI & Digital Trust,Seraph + META,"Integrity; Proof","WP02|WP11",,D1714|D509,4,5,4.5,VERY_HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
DORA Vendor Assurance,Evidence & Assurance,VendorProof + Legalis,"Obligation; Assurance","WP05|WP07",,D1717|D601,4,5,4.5,VERY_HIGH,Profile candidate,PORTFOLIO_PROFILE_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
DIO RegOps,Public & Programme Ops,Legalis + META,"Obligation; Authority","WP05|WP09",,D702|D811|D800,4,5,4.5,VERY_HIGH,Architecture seeded,PORTFOLIO_ARCHITECTURE_SEEDED,NOT_M1_BOUND,CROSSWALKED,
PermitProof,Public & Programme Ops,Legalis + META,"Obligation; Authority","WP05|WP09",,D811|D109|D306|D715,4,5,4.5,VERY_HIGH,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
Document Studio Edit,Demand & Presence,Document Studio,Document,WP10,,D1709|D501,1,2,1.5,LOW_MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,
Document Studio Localize,Demand & Presence,Document Studio + Lingua,"Document; Assurance","WP10|WP07",,D1709|D1403,2,3,2.5,MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,
Document Studio Publish,Demand & Presence,Format Core,"Document; Proof","WP10|WP11",,D1709|D501,1,2,1.5,LOW_MEDIUM,Internal proof,PORTFOLIO_INTERNAL_PROOF,NOT_M1_BOUND,CROSSWALKED,
Accessible Publish,Demand & Presence,Format Core,"Document; Quality","WP10|WP04",,D1715|D1709,2,3,2.5,MEDIUM,Internal capability,PORTFOLIO_INTERNAL_CAPABILITY,NOT_M1_BOUND,CROSSWALKED,
DossierOps,Demand & Presence,Document Studio + Room,"Document; Proof","WP10|WP11",,D1709|D1712,2,3,2.5,MEDIUM,Composition candidate,PORTFOLIO_CANDIDATE,NOT_M1_BOUND,CROSSWALKED,
Market Radar,Demand & Presence,NicheFoundry + Hivenance,Market,WP12,,D1710|D706,1,2,1.5,LOW_MEDIUM,Implemented lane,PORTFOLIO_IMPLEMENTED,NOT_M1_BOUND,CROSSWALKED,
Opportunity Foundry,Demand & Presence,NicheFoundry + Hivenance,Market,WP12,,D1710|D1504,1,2,1.5,LOW_MEDIUM,Implemented foundation,PORTFOLIO_IMPLEMENTED,NOT_M1_BOUND,CROSSWALKED,
Offer Lab,Demand & Presence,NicheFoundry + Hivenance,"Market; Assurance","WP12|WP07",,D1710|D1504,1,2,1.5,LOW_MEDIUM,Implemented foundation,PORTFOLIO_IMPLEMENTED,NOT_M1_BOUND,CROSSWALKED,
Campaign Lab,Demand & Presence,NicheFoundry + Hivenance,"Market; Learning","WP12","WP13",D1710|D1504,2,2,2.0,LOW_MEDIUM,Implemented foundation,PORTFOLIO_IMPLEMENTED,NOT_M1_BOUND,CROSSWALKED,"Learning is candidate WP13."
Vesper Desk,Demand & Presence,Vesper,"Intake; Authority","WP08|WP09",,D1711|D1505,2,3,2.5,MEDIUM,Fusion core,PORTFOLIO_FUSION_CORE,NOT_M1_BOUND,CROSSWALKED,"Draft/send side effects remain separately authorized."
