template_id,template_name,buyer_job,applicable_domain_families,required_work_pattern_ids,required_primitive_ids,required_specialized_capabilities,input_artifact_classes,output_artifact_class,authority_ceiling,external_effect_intent,base_build_burden,base_validation_burden,commercial_shape,notes
MORPH-011,Incident Evidence Dossier,"compile an incident chronology evidence dossier with contradiction checks challenges and bounded response material","PRIMARY|INDUSTRY|INFRASTRUCTURE|INFORMATION|FINANCE|PUBLIC|HEALTH|ENGINEERING|ORGANISATION|CROSSCUTTING","WP01|WP02|WP07|WP10|WP11","P006|P008|P009|P010|P012|P016|P017|P022|P023|P042|P043|P050|P053|P054|P055","incident_domain_analysis","events|logs|records|statements|evidence",incident_evidence_dossier,controlled_artifact_only,NONE,2.5,3.75,SERVICE_PACK,"Incident response authority and specialized causal analysis remain separate."
MORPH-012,Financial Readiness Pack,"prepare a financial readiness and evidence pack from supplied requirements records calculations reconciliations gaps and narrative","PRIMARY|INDUSTRY|INFRASTRUCTURE|COMMERCE|FINANCE|PROFESSIONAL|PUBLIC|EDUCATION|HEALTH|SCIENCE|ENGINEERING|ORGANISATION|CIVIL|CROSSCUTTING","WP01|WP03|WP10|WP11","P003|P006|P007|P008|P012|P013|P017|P022|P028|P042|P043|P050|P054|P055",,"financial_requirements|financial_records|assumptions|evidence",financial_readiness_pack,controlled_artifact_only,NONE,1.5,2.5,SERVICE_PACK,"Financial readiness is not credit investment or fiduciary approval."
MORPH-013,Supplier and Vendor Assurance Pack,"prepare a supplier or vendor assurance response with requirements evidence gaps reconciliations narrative and correspondence","INDUSTRY|INFRASTRUCTURE|COMMERCE|INFORMATION|FINANCE|PROFESSIONAL|PUBLIC|HEALTH|ENGINEERING|ORGANISATION|CROSSCUTTING","WP01|WP04|WP05|WP10|WP11","P003|P006|P007|P008|P010|P012|P017|P022|P023|P042|P043|P050|P054|P055",,"questionnaire|supplier_records|controls|evidence|correspondence",vendor_assurance_pack,controlled_artifact_only,NONE,2.0,3.0,SERVICE_PACK,"Vendor approval and risk acceptance remain with the authorized owner."
MORPH-014,Assessment and Moderation Pack,"prepare an assessment and moderation evidence pack against supplied outcomes rubrics and learner or candidate evidence","EDUCATION|PROFESSIONAL|PUBLIC|HEALTH|ORGANISATION","WP01|WP06|WP10|WP11","P003|P006|P007|P008|P017|P022|P029|P030|P042|P043|P050|P053|P054|P055","assessment_design|academic_or_professional_judgment","outcomes|rubric|assessment|candidate_evidence",assessment_moderation_pack,controlled_artifact_only,NONE,2.5,4.0,SERVICE_PACK,"Academic/professional judgment and grade/release authority remain explicit gaps."
MORPH-015,Accessible Publication Pack,"prepare a multi-format publication pack with source provenance structural QA accessibility checks and controlled release artifacts","INFORMATION|PROFESSIONAL|PUBLIC|EDUCATION|HUMANITIES|ORGANISATION|CIVIL|CROSSCUTTING","WP04|WP10|WP11","P005|P010|P017|P019|P021|P022|P042|P043|P050|P053|P054","accessibility_validation","approved_content|style_profile|accessibility_profile",accessible_publication_pack,controlled_artifact_only,NONE,2.0,3.0,SERVICE_PACK,"M1 publication mechanics overlap; formal accessibility validation is not yet execution-corroborated."
MORPH-016,Market Offer Experiment Pack,"prepare a bounded offer experiment with claim evidence measurement plan attribution settlement and learning boundaries","COMMERCE|INFORMATION|FINANCE|PROFESSIONAL|EDUCATION|ORGANISATION|CIVIL|CROSSCUTTING","WP01|WP07|WP12|WP13","P006|P010|P017|P034|P035|P036|P037|P038|P039|P042|P050|P053|P054|P055","market_episode_execution","market_context|offer|claims|channel|measurement",market_offer_experiment_pack,controlled_artifact_only,NONE,3.0,3.5,EXPERIMENT,"M2 proves the commercial metabolism but this registry does not relabel M2 orchestration as an M1 execution capability."
MORPH-017,Translation and Localization Pack,"prepare a terminology-bound translation or localization package with provenance and QA","INFORMATION|PROFESSIONAL|PUBLIC|EDUCATION|HEALTH|SOCIAL|HUMANITIES|ORGANISATION|CIVIL|CROSSCUTTING","WP02|WP10|WP11","P010|P017|P019|P020|P021|P022|P042|P043|P050|P053|P054","translation_localization","source_text|terminology|locale_profile",localized_publication_pack,controlled_artifact_only,NONE,2.0,3.5,SERVICE_PACK,"Document mechanics overlap; translation/localization competence remains an explicit gap."
MORPH-018,Compliance Evidence Response Pack,"prepare a controlled compliance response pack mapping supplied obligations to evidence gaps narrative and proof artifacts","PRIMARY|INDUSTRY|INFRASTRUCTURE|INFORMATION|FINANCE|PROFESSIONAL|PUBLIC|HEALTH|ENGINEERING|ORGANISATION|CROSSCUTTING","WP01|WP04|WP05|WP10|WP11","P003|P006|P007|P008|P010|P012|P017|P022|P023|P028|P042|P043|P050|P054|P055",,"obligations|controls|evidence|records|correspondence",compliance_response_pack,controlled_artifact_only,NONE,2.0,3.25,SERVICE_PACK,"Compliance evidence mapping does not constitute a legal ruling or certification."
MORPH-019,Customer Case Response Pack,"prepare a controlled customer or stakeholder case response from inbound material evidence gaps narrative and correspondence context","COMMERCE|INFORMATION|FINANCE|PROFESSIONAL|PUBLIC|HEALTH|ORGANISATION|CIVIL|CROSSCUTTING","WP01|WP08|WP10|WP11","P001|P002|P003|P006|P008|P017|P022|P023|P024|P025|P042|P043|P050|P053|P054|P055","case_intake_orchestration","message|attachments|case|evidence|recipient_context",customer_case_response_pack,controlled_artifact_only,NONE,2.25,3.0,SERVICE_PACK,"Correspondence is proven but intake classification/routing remains a separate mechanism gap."
MORPH-020,AI and Digital Assurance Dossier,"prepare an AI or digital-system assurance dossier from model or system evidence controls evaluations drift challenges and proof artifacts","INFORMATION|PROFESSIONAL|ORGANISATION|CROSSCUTTING","WP01|WP02|WP07|WP09|WP11","P003|P006|P007|P009|P010|P014|P015|P016|P022|P040|P042|P043|P044|P045|P046|P050|P054|P055","ai_assurance_execution","model|system|evaluation|controls|telemetry",ai_assurance_dossier,controlled_artifact_only,NONE,3.5,4.0,SERVICE_PACK,"ATLAS may recognize the work but must not mint AI assurance capability or execution authority from similarity."
