seed_id,source_id,organisation_name,url,capital_types,geographies,themes,evidence_role
CAP-SEED-011,SRC-FIRST-PARTY-PROGRAMME,UNICEF Venture Fund,https://www.unicefinnovationfund.org/,GRANT|ACCELERATOR,GLOBAL,open_source|children|digital_public_goods|ai,OFFICIAL_PAGE_SEED
CAP-SEED-012,SRC-FIRST-PARTY-PROGRAMME,MIT Solve,https://solve.mit.edu/challenges,PRIZE|ACCELERATOR|GRANT,GLOBAL,innovation|education|climate|health|ai,OFFICIAL_PAGE_SEED
CAP-SEED-013,SRC-FIRST-PARTY-PROGRAMME,XPRIZE,https://www.xprize.org/prizes,PRIZE|SPONSOR,GLOBAL,innovation|ai|education|climate,OFFICIAL_PAGE_SEED
CAP-SEED-014,SRC-FIRST-PARTY-PROGRAMME,Global Innovation Fund,https://www.globalinnovation.fund/,GRANT|INVESTOR,AFRICA|GLOBAL,development|innovation|impact|technology,OFFICIAL_PAGE_SEED
CAP-SEED-015,SRC-FIRST-PARTY-PROGRAMME,UK Research and Innovation,https://www.ukri.org/opportunity/,GRANT|PRIZE,GLOBAL,research|innovation|education|technology,OFFICIAL_PAGE_SEED
CAP-SEED-016,SRC-FIRST-PARTY-PROGRAMME,Wellcome,https://wellcome.org/grant-funding,GRANT,GLOBAL,research|health|science|innovation,OFFICIAL_PAGE_SEED
CAP-SEED-017,SRC-FIRST-PARTY-PROGRAMME,International Development Research Centre,https://idrc-crdi.ca/en/funding,GRANT,AFRICA|GLOBAL,research|development|education|ai,OFFICIAL_PAGE_SEED
CAP-SEED-018,SRC-FIRST-PARTY-PROGRAMME,National Science Foundation,https://www.nsf.gov/funding,GRANT,GLOBAL,research|science|technology|education,OFFICIAL_PAGE_SEED
CAP-SEED-019,SRC-FIRST-PARTY-PROGRAMME,European Commission Funding and Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,GRANT|PRIZE|ACCELERATOR,GLOBAL,research|innovation|digital|education,OFFICIAL_PAGE_SEED
CAP-SEED-020,SRC-FIRST-PARTY-PROGRAMME,Grand Challenges Canada,https://www.grandchallenges.ca/funding-opportunities/,GRANT|PRIZE,AFRICA|GLOBAL,innovation|health|development|impact,OFFICIAL_PAGE_SEED
CAP-SEED-021,SRC-FIRST-PARTY-PROGRAMME,Internet Society Foundation,https://www.isocfoundation.org/grant-programme/,GRANT,AFRICA|GLOBAL,internet|digital_inclusion|research|education,OFFICIAL_PAGE_SEED
CAP-SEED-022,SRC-FIRST-PARTY-PROGRAMME,NLnet Foundation,https://nlnet.nl/funding.html,GRANT,GLOBAL,open_source|internet|digital_trust|ai,OFFICIAL_PAGE_SEED
CAP-SEED-023,SRC-FIRST-PARTY-PROGRAMME,Open Technology Fund,https://www.opentech.fund/funds/,GRANT,GLOBAL,open_source|internet_freedom|security|digital_trust,OFFICIAL_PAGE_SEED
CAP-SEED-024,SRC-FIRST-PARTY-PROGRAMME,Microsoft for Startups,https://www.microsoft.com/en-us/startups,ACCELERATOR|SPONSOR,GLOBAL,startup|ai|cloud|software,OFFICIAL_PAGE_SEED
CAP-SEED-025,SRC-FIRST-PARTY-PROGRAMME,NVIDIA Inception,https://www.nvidia.com/en-us/startups/,ACCELERATOR|SPONSOR,GLOBAL,ai|startup|technology,OFFICIAL_PAGE_SEED
CAP-SEED-026,SRC-INVESTOR-PUBLIC-WEB,Launch Africa Ventures,https://www.launchafrica.vc/home,INVESTOR,AFRICA|GLOBAL,startup|technology|seed|venture,OFFICIAL_PAGE_SEED
CAP-SEED-027,SRC-INVESTOR-PUBLIC-WEB,4Di Capital,https://www.4dicapital.com/,INVESTOR,ZA|AFRICA|GLOBAL,startup|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-028,SRC-INVESTOR-PUBLIC-WEB,HAVAIC,https://www.havaic.com/,INVESTOR,ZA|AFRICA|GLOBAL,startup|technology|growth,OFFICIAL_PAGE_SEED
CAP-SEED-029,SRC-INVESTOR-PUBLIC-WEB,Kalon Venture Partners,https://www.kalonvp.com/,INVESTOR,ZA|AFRICA,startup|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-030,SRC-INVESTOR-PUBLIC-WEB,Norrsken22,https://www.norrsken22.com/,INVESTOR,AFRICA|GLOBAL,technology|growth|impact|venture,OFFICIAL_PAGE_SEED
CAP-SEED-031,SRC-INVESTOR-PUBLIC-WEB,Novastar Ventures,https://www.novastarventures.com/,INVESTOR,AFRICA|GLOBAL,technology|impact|venture|growth,OFFICIAL_PAGE_SEED
CAP-SEED-032,SRC-INVESTOR-PUBLIC-WEB,TLcom Capital,https://tlcomcapital.com/,INVESTOR,AFRICA|GLOBAL,technology|venture|growth,OFFICIAL_PAGE_SEED
CAP-SEED-033,SRC-INVESTOR-PUBLIC-WEB,Partech Africa,https://partechpartners.com/africa/,INVESTOR,AFRICA|GLOBAL,technology|venture|software|growth,OFFICIAL_PAGE_SEED
CAP-SEED-034,SRC-INVESTOR-PUBLIC-WEB,Africa50,https://www.africa50.com/our-funds/,INVESTOR,AFRICA|GLOBAL,infrastructure|digital|education|development,OFFICIAL_PAGE_SEED
CAP-SEED-035,SRC-INVESTOR-PUBLIC-WEB,Acumen,https://acumen.org/investments/,INVESTOR,AFRICA|GLOBAL,impact|education|poverty|technology,OFFICIAL_PAGE_SEED
CAP-SEED-036,SRC-INVESTOR-PUBLIC-WEB,Omidyar Network,https://omidyar.com/,INVESTOR|DONOR,GLOBAL,technology|responsible_ai|digital_society|impact,OFFICIAL_PAGE_SEED
CAP-SEED-037,SRC-INVESTOR-PUBLIC-WEB,Flourish Ventures,https://flourishventures.com/,INVESTOR,AFRICA|GLOBAL,fintech|technology|impact|venture,OFFICIAL_PAGE_SEED
CAP-SEED-038,SRC-INVESTOR-PUBLIC-WEB,Accel,https://www.accel.com/,INVESTOR,GLOBAL,software|ai|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-039,SRC-INVESTOR-PUBLIC-WEB,General Catalyst,https://www.generalcatalyst.com/,INVESTOR,GLOBAL,software|ai|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-040,SRC-INVESTOR-PUBLIC-WEB,Bessemer Venture Partners,https://www.bvp.com/,INVESTOR,GLOBAL,software|ai|cloud|venture,OFFICIAL_PAGE_SEED
CAP-SEED-041,SRC-INVESTOR-PUBLIC-WEB,Index Ventures,https://www.indexventures.com/,INVESTOR,GLOBAL,software|ai|technology|venture,OFFICIAL_PAGE_SEED
CAP-SEED-042,SRC-INVESTOR-PUBLIC-WEB,Atomico,https://atomico.com/,INVESTOR,GLOBAL,technology|ai|venture|europe,OFFICIAL_PAGE_SEED
CAP-SEED-043,SRC-PHILANTHROPY-PUBLIC-WEB,Mastercard Foundation,https://mastercardfdn.org/,GRANT|DONOR,AFRICA|GLOBAL,education|youth|digital|employment,OFFICIAL_PAGE_SEED
CAP-SEED-044,SRC-PHILANTHROPY-PUBLIC-WEB,Allan Gray Orbis Foundation,https://allangrayorbis.org/,GRANT|DONOR,ZA|AFRICA,education|entrepreneurship|youth,OFFICIAL_PAGE_SEED
CAP-SEED-045,SRC-PHILANTHROPY-PUBLIC-WEB,DG Murray Trust,https://dgmt.co.za/,GRANT|DONOR,ZA|AFRICA,education|public_benefit|youth|innovation,OFFICIAL_PAGE_SEED
CAP-SEED-046,SRC-PHILANTHROPY-PUBLIC-WEB,ELMA Philanthropies,https://www.elmaphilanthropies.org/,GRANT|DONOR,AFRICA|GLOBAL,education|health|children|development,OFFICIAL_PAGE_SEED
CAP-SEED-047,SRC-PHILANTHROPY-PUBLIC-WEB,Shuttleworth Foundation,https://www.shuttleworthfoundation.org/fellows/,GRANT|DONOR,ZA|AFRICA|GLOBAL,open_source|education|innovation|technology,OFFICIAL_PAGE_SEED
CAP-SEED-048,SRC-PHILANTHROPY-PUBLIC-WEB,Gates Foundation,https://www.gatesfoundation.org/about/how-we-work/grant-opportunities,GRANT|DONOR,AFRICA|GLOBAL,education|development|health|innovation,OFFICIAL_PAGE_SEED
CAP-SEED-049,SRC-PHILANTHROPY-PUBLIC-WEB,Ford Foundation,https://www.fordfoundation.org/work/our-grants/grant-opportunities/,GRANT|DONOR,AFRICA|GLOBAL,inequality|public_benefit|technology|justice,OFFICIAL_PAGE_SEED
CAP-SEED-050,SRC-PHILANTHROPY-PUBLIC-WEB,Spencer Foundation,https://www.spencer.org/research-grants,GRANT|DONOR,GLOBAL,education|research|learning,OFFICIAL_PAGE_SEED
CAP-SEED-051,SRC-PHILANTHROPY-PUBLIC-WEB,Hewlett Foundation,https://hewlett.org/grants/,GRANT|DONOR,GLOBAL,education|open_education|technology|public_benefit,OFFICIAL_PAGE_SEED
CAP-SEED-052,SRC-PHILANTHROPY-PUBLIC-WEB,MacArthur Foundation,https://www.macfound.org/programs/awards,GRANT|DONOR|PRIZE,GLOBAL,technology|public_benefit|climate|justice,OFFICIAL_PAGE_SEED
CAP-SEED-053,SRC-PHILANTHROPY-PUBLIC-WEB,Jacobs Foundation,https://jacobsfoundation.org/activity/jacobs-foundation-research-fellowship-program/,GRANT|DONOR,AFRICA|GLOBAL,education|learning|research|children,OFFICIAL_PAGE_SEED
CAP-SEED-054,SRC-PHILANTHROPY-PUBLIC-WEB,Patrick J McGovern Foundation,https://www.mcgovern.org/grants/,GRANT|DONOR,GLOBAL,ai|data|public_benefit|technology,OFFICIAL_PAGE_SEED
CAP-SEED-055,SRC-PHILANTHROPY-PUBLIC-WEB,Alfred P Sloan Foundation,https://sloan.org/grants/apply,GRANT|DONOR,GLOBAL,research|technology|science|digital,OFFICIAL_PAGE_SEED
CAP-SEED-056,SRC-PATRONAGE-PUBLIC-WEB,GitHub Sponsors,https://github.com/sponsors,PATRONAGE|SPONSOR,GLOBAL,open_source|software|community|technology,OFFICIAL_PAGE_SEED
CAP-SEED-057,SRC-PATRONAGE-PUBLIC-WEB,Open Collective,https://opencollective.com/,PATRONAGE|SPONSOR,GLOBAL,open_source|community|public_benefit|technology,OFFICIAL_PAGE_SEED
CAP-SEED-058,SRC-PATRONAGE-PUBLIC-WEB,Patreon,https://www.patreon.com/,PATRONAGE|SPONSOR,GLOBAL,creator|community|education|membership,OFFICIAL_PAGE_SEED
CAP-SEED-059,SRC-PATRONAGE-PUBLIC-WEB,Liberapay,https://liberapay.com/,PATRONAGE|SPONSOR,GLOBAL,open_source|creator|community,OFFICIAL_PAGE_SEED
CAP-SEED-060,SRC-PATRONAGE-PUBLIC-WEB,Open Source Collective,https://oscollective.org/,PATRONAGE|SPONSOR,GLOBAL,open_source|software|community|technology,OFFICIAL_PAGE_SEED
