primitive_id,primitive_name,verb_family,canonical_definition,input_artifact_classes,output_artifact_classes,default_work_pattern_ids,risk_class,authority_sensitive,relation_state,notes
P015,Detect drift,assurance,"Identify material change between a bound baseline and current state.",comparison_state|time_series,drift_state,WP07,HIGH,false,DIO_DERIVED,"Drift may tighten scrutiny but does not create execution authority."
P016,Adversarial challenge,assurance,"Actively test claims, mappings, controls, assumptions, or artifacts for brittle or unsafe conditions.",claim|artifact|control|hypothesis,challenge_result,WP02|WP07,HIGH,false,DIO_DERIVED,"Challenge is evidence, not sovereign adjudication."
P017,Synthesize narrative,composition,"Construct a source-bound narrative from approved facts, evidence, requirements, and constraints.",evidence_map|facts|requirements,narrative,WP02|WP10,MEDIUM,false,DIO_DERIVED,"Must not invent unsupported facts or claims."
P018,Summarize,composition,"Compress source material while preserving material meaning, uncertainty, and attribution.",document|case|evidence,summary,WP10,MEDIUM,false,DIO_DERIVED,"Summary is a projection, not replacement authority for source."
P019,Transform document,document,"Edit, restructure, convert, or project approved meaning under a versioned transformation contract.",document|semantic_units,transformed_document,WP10,MEDIUM,false,DIO_DERIVED,"Substantive content lineage remains separately provable."
P020,Translate or localize,document,"Project approved semantic units into another language or locale while preserving protected meaning and terminology.",semantic_units|terminology,bilingual_or_localized_artifact,WP10,HIGH,false,DIO_DERIVED,"Qualified review may be required by domain."
P021,Format or publish artifact,document,"Render approved content into a target format or publication package.",approved_content|output_profile,publication_artifact,WP10|WP11,MEDIUM,true,DIO_DERIVED,"Artifact generation is not external publication authority."
P022,Assemble dossier,document,"Organize multiple governed artifacts into an indexed, traceable dossier or submission-ready pack.",artifact_set|manifest,dossier,WP10|WP11,MEDIUM,false,DIO_DERIVED,"Submission remains separately authorized."
P023,Generate correspondence,document,"Prepare source-bound professional correspondence tied to an exact case and intended recipient context.",case|approved_facts|recipient_context,correspondence_draft,WP10,MEDIUM,true,DIO_DERIVED,"Drafting never implies sending."
P024,Route intake,intake,"Route a classified case to the appropriate bounded workflow or owner.",classification|case,route_decision,WP08,MEDIUM,true,DIO_DERIVED,"Route availability is not authority for side effects."
P025,Request missing information,intake,"Identify and draft a bounded request for information needed to continue a case.",gap_register|case,information_request,WP08,LOW,true,DIO_DERIVED,"External send remains separately gated."
P026,Schedule deadline,obligation,"Calculate and register a deadline or review date from source-bound obligations and timing rules.",obligation|rule|date,deadline_state,WP05,MEDIUM,false,DIO_DERIVED,"Jurisdiction-specific time rules require proper profiles."
P027,Track obligation,obligation,"Maintain obligation, milestone, deliverable, renewal, or status lineage through time.",obligation_set|evidence,obligation_state,WP05,MEDIUM,false,DIO_DERIVED,"Tracking does not decide legal discharge."
P028,Assess eligibility,obligation,"Evaluate configured prerequisites or eligibility criteria against available evidence.",criteria|evidence,eligibility_state,WP05|WP09,HIGH,true,DIO_DERIVED,"Configured readiness is not a legal or regulatory ruling."
P029,Build assessment,assessment,"Construct a bounded assessment artifact from curriculum, framework, outcomes, and declared constraints.",curriculum|framework|outcomes,assessment_artifact,WP06,HIGH,true,DIO_DERIVED,"Educator/institution retains academic authority."
P030,Moderate judgment,assessment,"Compare judgments, marks, or review decisions for inconsistency and prepare moderation evidence.",judgment_set|rubric,moderation_pack,WP06,HIGH,true,DIO_DERIVED,"Does not replace examiner or institutional release authority."
P031,Map objective,achievement,"Link activities and evidence to objectives, outcomes, competencies, indicators, or KPIs.",objective_set|activity|evidence,objective_map,WP03,MEDIUM,false,DIO_DERIVED,"Objective semantics come from a source profile."
P032,Evaluate coverage,achievement,"Measure and expose coverage of objectives, requirements, controls, or criteria without fabricating missing support.",objective_map|evidence_map,coverage_state,WP03|WP06,MEDIUM,false,DIO_DERIVED,"Coverage metrics are evidence, not final qualitative judgment."
P033,Score or rank,analysis,"Rank alternatives using an explicit, versioned scoring rule and evidence inputs.",candidate_set|metrics,ranking,WP12,MEDIUM,false,DIO_DERIVED,"Rankings are hypotheses unless independently validated."
P034,Form hypothesis,learning,"Create a falsifiable, scoped hypothesis from evidence, gaps, signals, or settled learning.",evidence|signal|settlement,hypothesis,WP12|WP13,MEDIUM,false,DIO_DERIVED,"Hypothesis is not fact."
P035,Design experiment,market,"Define a bounded experiment with audience, offer, channel, metric, window, stop conditions, and authority requirements.",hypothesis|commercial_context,experiment_plan,WP12,HIGH,true,DIO_DERIVED,"Planning does not authorize exposure or spend."
P036,Observe response,observation,"Record source-bound positive, negative, silent, loss, or other declared response evidence.",experiment|event|measurement,observation,WP12|WP13,MEDIUM,false,DIO_DERIVED,"Controlled fixtures are not real market evidence."
P037,Attribute outcome,market,"Bind an observed outcome to the exact product, offer, audience, channel, price, world, and evidence context.",observation|context,attributed_outcome,WP12,HIGH,false,DIO_DERIVED,"Attribution requires explicit lineage."
P038,Settle truth,settlement,"Determine what a bounded evidence episode actually earned after expected/observed effects and authority are reconciled.",episode|observations|world_state,settlement,WP07|WP12|WP13,HIGH,false,DIO_DERIVED,"No outcome crystal before settlement."
P039,Learn or update,learning,"Create a scoped semantic or routing update candidate from settled evidence.",settlement|crystal,learning_candidate,WP12|WP13,HIGH,false,DIO_DERIVED,"No direct learning-to-execution path."
P040,Authorize action,authority,"Evaluate whether a proposed consequential action has the required explicit human/organizational and system authority.",proposed_action|authority_receipts,authority_decision,WP09,VERY_HIGH,true,DIO_DERIVED,"Evidence and confidence are not authority."
P041,Execute bounded action,authority,"Perform only an explicitly authorized action within its exact capability, identity, and effect lease.",authority_decision|action_contract,execution_receipt,WP09,VERY_HIGH,true,DIO_DERIVED,"Execution must preserve Valinor/ARDA/Seraph boundaries."
P042,Preserve receipt,proof,"Record a tamper-evident receipt for an observation, transformation, decision, or execution.",event|artifact|decision,receipt,WP01|WP02|WP03|WP04|WP05|WP06|WP07|WP08|WP09|WP10|WP11|WP12|WP13,LOW,false,DIO_DERIVED,"Receipt existence does not by itself prove the proposition it references."
P043,Package proof,proof,"Compile governed evidence, decisions, receipts, limitations, and integrity metadata into a portable proof package.",case|receipt_set|evidence,proof_package,WP01|WP03|WP04|WP11,MEDIUM,true,DIO_DERIVED,"Disclosure remains authority/profile bound."
P044,Monitor continuously,assurance,"Repeat bounded observations or checks over time under a declared cadence and world-state contract.",state|watch_condition,monitoring_state,WP07|WP12,HIGH,true,DIO_DERIVED,"Monitoring may notify; it does not self-authorize consequential response."
P045,Triage risk,assurance,"Classify and prioritize risk signals under a declared policy without converting risk score into authority.",signal|control|context,risk_triage,WP07,HIGH,true,DIO_DERIVED,"High risk may demand review, not autonomous punishment."
P046,Detect anomaly,assurance,"Identify statistically, semantically, temporally, or structurally unusual observations against a bound baseline.",measurement|event|baseline,anomaly_state,WP07,MEDIUM,false,DIO_DERIVED,"Anomaly is not causality or guilt."
P047,Crosswalk taxonomy,ontology,"Create a provenance-bound mapping between concepts in two taxonomies while preserving source identities.",taxonomy_a|taxonomy_b,crosswalk,WP13,MEDIUM,false,DIO_DERIVED,"Crosswalk relation state must be explicit."
P048,Resolve similarity,ontology,"Compute or adjudicate structural similarity between jobs, tasks, artifacts, or capability signatures.",semantic_signature_set,similarity_candidates,WP13,HIGH,false,DIO_DERIVED,"Similarity never means equivalence or capability."
P049,Plan composition,metamorphosis,"Construct a non-executing DAG from eligible verified capabilities that collectively satisfy a required work morphology.",intent|capability_signatures|world_lease,composition_plan,WP13,HIGH,true,DIO_DERIVED,"Planning must expose all missing capabilities."
P050,Inspect artifact,verification,"Inspect an artifact against declared semantic, structural, quality, and provenance requirements.",artifact|contract,inspection_result,WP01|WP02|WP04|WP10|WP11,MEDIUM,false,DIO_DERIVED,"Inspection does not imply acceptance by the authorized owner."
P051,Collect acceptance,commercial,"Record source-bound acceptance or rejection from the correct customer/reviewer lineage for the exact artifact.",artifact|customer_lineage,acceptance_evidence,WP12,HIGH,false,DIO_DERIVED,"Acceptance alone does not prove WTP or repeatability."
P052,Bind identity,lineage,"Bind actor, customer, provider, artifact, execution, or case identity to a stable lineage object.",subject|source_refs,lineage_identity,WP08|WP09|WP12,MEDIUM,false,DIO_DERIVED,"Identity does not imply authority or independence."
P053,Version semantics,semantics,"Create a versioned semantic object with source hash, terminology, projections, and revision lineage.",semantic_source|terminology,semantic_version,WP10|WP13,MEDIUM,false,DIO_DERIVED,"A new projection is not a new underlying fact."
P054,Resolve applicability,metamorphosis,"Check policy, audience, jurisdiction, privacy, market, runtime, and world-state applicability before reuse.",capability_signature|target_context,applicability_state,WP07|WP09|WP13,HIGH,true,DIO_DERIVED,"Applicability must fail closed when required context is missing."
P055,Identify capability gap,metamorphosis,"Compare target work morphology with execution-corroborated capability coverage and enumerate missing mechanisms.",target_signature|verified_capabilities,capability_gap_set,WP13,LOW,false,DIO_DERIVED,"Gap declaration is preferable to invented competence."
P056,Compile pivot hypothesis,metamorphosis,"Create a held cross-domain pivot candidate from settled market learning and mechanical work-pattern compatibility.",negative_learning|atlas_graph|verified_capabilities,pivot_hypothesis,WP12|WP13,HIGH,true,DIO_DERIVED,"Never publishes, spends, sends, promotes capability, or claims demand."
