title,phase,subject_family,language_guess,recommended_blueprint,signals_source_based,signals_essay_or_extended_response,signals_case_study,signals_data_graph_diagram,signals_practical_investigation,signals_project_or_sba,signals_oral_or_performance,signals_calculation_problem,signals_formal_test_or_exam,path,sha256
Computer Applications Technology,fet_grade_10_12,technology,Unknown,practical_project_design_task,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_computer_applications_technology_gr_10-12_web_6ac6.pdf,b789c8558337cdf466757830b008d3de66f4ce169719f512a01aec791fc5958e
Consumer Studies,fet_grade_10_12,commerce,Unknown,case_study_structured_questions,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_consumer_studies_gr_10-12_web_c5db.pdf,920f50fc0be1ab5c75e37a0135cd967362d75add40db601645f124697e845a57
Curriculum Assessment Policy Statement CAPS Gr 10-12,fet_grade_10_12,other,Unknown,practical_investigation,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_marine_sciences_final_for_government_gazette._10_may_2019.pdf,03a2eb2d67de339efe7be8b133f010e2eb68591467af9a2dd21140980ae8bd0d
Dance Studies,fet_grade_10_12,arts,Unknown,practical_performance_or_portfolio,True,True,False,True,True,True,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_dance_studies_gr_10-12_web_6466.pdf,9b7901748f4f625e8f0ad6ec724e4c98493856f878c8229107e6da7be8410ada
Design Studies,fet_grade_10_12,arts,Unknown,practical_performance_or_portfolio,True,True,True,True,True,True,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_design_studies_gr_10-12_web_4977.pdf,f4cc13d827222ab42a8eb0180a86d285732e755be8ee5e4d7abd4ed79ebdafac
Dramatic Arts,fet_grade_10_12,arts,Unknown,practical_performance_or_portfolio,True,True,True,True,True,True,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_dramatic_arts_gr_10-12_web_ea5e.pdf,cc17139684ab6c8c7681b62eda43d33e1e1666e9b81bc64be178378ac404636a
Dramatiese Kunste (Dramatic Arts),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,False,True,False,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_dramatiese_kunste_gr_10-12_web.pdf,ac1aac5648bee089dc19b11f47d96db8782fd3968f9483e62d475f55e3e0c1e3
Economics,fet_grade_10_12,commerce,Unknown,case_study_structured_questions,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_economics_gr_10-12_web_bd13.pdf,c683d798ec4eaf3ed42f937d8c51130daaa3537ea68c40233c5333e83e984268
Ekonomie (Economics),fet_grade_10_12,commerce,Afrikaans,structured_theory_application,False,False,False,True,True,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_ekonomie_gr_10-12_web.pdf,b7d897b4bb9d6a3a60e19a90e98c2430f4ad0676dc79892680f5a0a2ea6ca941
Electrical Technology,fet_grade_10_12,technology,Unknown,practical_project_design_task,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_electrical_technology_gr_10-12_web_c57c.pdf,fb3c95c989863d1a6771a5da97c3d4c28191512dd959150564761d45da4bdad4
Elektriese Tegnologie (Electrical Technology),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,True,True,False,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_elektriese_tegnologie_gr_10-12_web.pdf,a69dbae868642db196edf9345dd5ad7f1ca8caac30a385f27281964dad7b3a81
Engineering Graphics and Design,fet_grade_10_12,technology,Unknown,practical_project_design_task,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_engineering_grapichs_design_gr_10-12_web_8899.pdf,f5f1251d07edd0ed7ff05c1d78b28e6632a04b7653475db6c742b5ee30d08dc3
English,fet_grade_10_12,language,English,language_integrated_assessment,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_sal_english_gr_10-12_web_1bb7.pdf,a2ffcf619d5bfdd83f15b65f6538ba8a4a498b3f0d0aaf910fe83668af1484b2
English,fet_grade_10_12,language,English,language_integrated_assessment,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_english_gr_10-12_web_65dc.pdf,3d97f707a8ad56b58713ecd3a7e0ca8cf8698ba367e128a647718f7a47067407
English,fet_grade_10_12,language,English,language_integrated_assessment,True,True,True,True,True,True,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_english_gr_10-12_web_5478.pdf,624641273e9e44987fd1b83a6f4fdb549a4649d57de7f2460ace9dc44b761c71
Equine Studies,fet_grade_10_12,other,Unknown,practical_investigation,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/equine_studies.pdf,d4abcdcf899b1bf650daeca1342a271a85c214a0579170e7f3242514e1a9de9b
FET Phase (Grade 10 -12),fet_grade_10_12,other,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_sasignlanguage_hl_fet_gr_10-12_2.pdf,c655056b7fa567efb8134c4c700f31c03d210501f8899dab307728a9cd3c14b4
Fisiese Wetenskap (Physical Science),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,False,True,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_fisiese_wetenskap_gr_10-12_web.pdf,771c1270198f5bc12aa49b2daf8641ce7815d6c1a3b2944174954f0f4c8d9b62
French,fet_grade_10_12,other,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_french_second_additional_language_grades_10-12.pdf,10af26445c7f18f7ee36f2aa90f0f67860146d451bae79f7f8a80fb47d0eea39
Gasvryheid (Hospitality Studies),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,False,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_gasvryheid_studies_gr_10-12_web.pdf,e573db2ac6c9bedc4dc4deacc702363af1d9c8cb8cfa1c34962b3c918e61bd7d
Geografie (Geography),fet_grade_10_12,social_sciences,Afrikaans,practical_investigation,False,True,False,True,True,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_geography_afr_web.pdf,f58c9c6a40d85ce78847e735623180838853f64d2498a01443183434afc1de0c
Geography,fet_grade_10_12,social_sciences,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_geography_gr_10-12_web_c9a9.pdf,5c6f0278c55f95316db7df300d3dd2e428af7b4d7185f4ccfcda44a59663c1aa
Geskiedenis (History),fet_grade_10_12,social_sciences,Afrikaans,source_based_plus_essay,False,False,False,False,False,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_geskiedenis_gr_10-12_web.pdf,73b5a4c0bc79dba0491009452821769dd0c5587b54a201592bb88adf4450b192
Guidelines to strengthen CAPS Implementation 2017: FET,fet_grade_10_12,other,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/s1_2017_annexure_b_fet_grade_10_-_11_guidelines_to_strenghtening_caps_section_4.pdf,033d4713d4a6f6a34d14bdd1cf110ee3bbe5656c771d0a3009e9346065b2ceeb
Hospitality Studies,fet_grade_10_12,other,Unknown,practical_investigation,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_hospitality_studies_gr_10-12_web_2ea7.pdf,190fc1a22ff550a85901383ef12afa8e278dd7ba3e9a983e98be6737f8183fde
Information Technology,fet_grade_10_12,technology,Unknown,practical_project_design_task,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_information_technology_gr_10-12_web_e677.pdf,caf78e5ec2173fbc74044c936ae62d1b0bf3b979f122858e342fb1fc99510557
Ingenieursgrafika en ontwerp (Engineering Graphics and Design),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,True,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_ingenieursgrafika_en_-ontwerp_gr_10-12_web.pdf,598bb3f523317c60a2c1d0793ab4ac78f93a6ae85cde01000a570ec5902270b9
Inligtings Tegnologie (Information Technology),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,True,False,True,True,True,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_inligtingstegnologie_gr_10-12_web.pdf,cc55240494853d5a53b73aaff0c238cb4d1218ebaf816c9a579741c6e4d748a2
IsiNdebele,fet_grade_10_12,other,English,structured_test_or_task,False,False,False,False,False,False,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_isindebele_gr10-12_web_d8ed.pdf,0b62a03eb0a90d8abf988088c9c8a15ff4aa41b204c031c14a840cc2f55e83a7
IsiNdebele,fet_grade_10_12,other,English,structured_test_or_task,False,False,False,False,False,False,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_sal_isindebele_gr_10-12_web_1777.pdf,eb0d09cac02de2b5feade022851f6fa119c2125d836aae13496f3fe0e43e70b4
IsiNdebele,fet_grade_10_12,other,English,structured_test_or_task,False,False,False,False,False,False,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_isindebele_gr_10-12_web_5a30.pdf,b75f9d7fb461e04ddaa7e970ecb8877435919b1527c4a7310112074d874c42e0
IsiXhosa,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,False,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_sal_isixhosa_gr_10-12_web_21b5.pdf,a373e6ffe5b79891c945eb7a69272ce6cc82f996bb0188bfe0c4e2d642b7147e
IsiXhosa,fet_grade_10_12,language,isiXhosa,language_integrated_assessment,False,False,False,False,False,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_isixhosa_gr_10-12_web_503c.pdf,c91617e691a04b681d6d8a7ea615bc2839f283cdf6f9034de79a75f4fe7b9f3d
IsiXhosa,fet_grade_10_12,language,isiXhosa,language_integrated_assessment,False,False,False,False,False,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_isixhosa_gr_10-12_web_9e70.pdf,c730b49b2db35205f9580154591c40775a0dc43a75b429e3c921221e6da4f1ba
IsiZulu,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,False,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_isizulu_gr_10-12_web_5d5a.pdf,f3b85b576ad6165512cdb4de2f63d98be82dbfe7e9c60aa84b0c55012610e7b7
IsiZulu,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,False,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_isizulu_gr_10-12_web_6cfe.pdf,f8beaf32df9e991933d71d25dbefa3265623a692e662fc5c4b6ad534238259b7
IsiZulu,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,False,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_sal_isizulu_gr_10-12_web_1f13.pdf,c3fc6cb02391a6db6e95153ea4f6f550c7ad55b00ce3e7ad2d0a833945b663a4
LandbouTegnologie (Agricultural Technology),fet_grade_10_12,technology,Unknown,practical_project_design_task,False,False,False,True,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_landboutegnologie_gr_10-12_web.pdf,dafd0607ab48de4223d920bc33bf71854729ba4bf0d84b88f819e82c0db8e6bf
Landboubestuurspraktyk (Agricultural Management Practices),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,True,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_landboubestuurspraktyk_gr_10-12_web.pdf,89f49451e97bf9db94e3ff0d3b9be692afc95cc36a2d7a466778077f68f3d84d
Landbouwetenskappe (Agricultural Sciences),fet_grade_10_12,science,Afrikaans,data_diagram_practical_investigation,False,False,False,True,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_landbouwetenskappe_gr_10-12_web.pdf,6bf7073bdf21b77738d718466dabd88a566afc7f90887e347280ec9b680a959a
Lewensorientering (Life Orientation),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,True,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_lewensorientering_gr_10-12_web.pdf,f8a5236d587db82fb24f4c31e01a400f084b03ca81c05998205ae0c9df4719cc
Lewenswetenskappe (Life Sciences),fet_grade_10_12,science,English,data_diagram_practical_investigation,False,False,False,True,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_life_sciences_web.pdf,c87cef14176247dbd958ea54649194d812857d75ffbc1344506bb927dcd3259b
Life Orientation,fet_grade_10_12,life_skills,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_life_orientation_gr_10-12_web_e6b3.pdf,29478a3420addef1239e0836c69b9862ff903fabc01b581c1c65ca044eca69c3
Life Sciences,fet_grade_10_12,science,Unknown,data_diagram_practical_investigation,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_life_sciences_gr_10-12_web_2636.pdf,dfb42793e6a1bd6969e358eed3943042dee2e0de620efdfc23107d2ac431a455
Mandarin,fet_grade_10_12,other,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/mandarin_second_additional_language_caps_grades_10-12.pdf,21e4b2898b1ed58b462de3e01bfc113871235bf18d93bc586d9a0c0a7dd7722d
Marine Sciences,fet_grade_10_12,other,Unknown,practical_investigation,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/marine_sciences_caps_final_march_3_2021.pdf,21debb46046ea33731646cf5fe8fe8eefc8c8da2c89a728ec4e589379df7500f
Maritime Economics,fet_grade_10_12,commerce,Unknown,case_study_structured_questions,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/maritime_economics.pdf,2feae7e52b13fa2da698c048e43867e192748332812e4d81aeefe56302d874c1
Mathematical Literacy,fet_grade_10_12,mathematics,English,calculation_problem_solving,False,False,True,True,True,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afr_maths_literacy_gr_10-12_web.pdf,fa97690a2f3a430f5ff46ff7c6b4318454ef62f0c58f0c79a1c8b75516657fcd
Mathematical Literacy,fet_grade_10_12,mathematics,Unknown,calculation_problem_solving,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_mathematical_literacy_gr_10-12_web_dda9.pdf,5231eaf7f6bf3cb88a35c01170eac4d4bdf5287bd65fddec2fa3b31d3ab26a6c
Mathematics,fet_grade_10_12,mathematics,Unknown,calculation_problem_solving,True,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_mathematics_gr_10-12_web_1133.pdf,042257c73d2ffcc843393e0d6b60aeca6a5cb9f2e81d255fc4e4db2ce56d3ad5
Mechanical Technology,fet_grade_10_12,technology,Unknown,practical_project_design_task,False,False,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_mechanical_technology_gr_10-12_web_36e9.pdf,163cb518c3c924deb5a06c9929869c6298a12d4242b658e8841c362cc9d0b936
Meganiese Tegnologie( Mechanical Technology),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,True,True,False,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_meganiese_tegnologie_gr_10-12_web.pdf,5b69a04d71c2b847f7a63f9393079c8c2ebd0bb255018d711469d9a5f16a42f8
Music,fet_grade_10_12,arts,Unknown,practical_performance_or_portfolio,False,False,False,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_music_gr_10-12_web_84b0.pdf,ae195b7131b5b446c70fc27cc2718f795d378d364f2236eed55764c8b00fc5a7
Musiek (Music),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,False,False,True,True,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_musiek_gr_10-12_web.pdf,a622332d4bb6361827d2a60806f2ce03198c5c3f2c2d72367bdb4f153d4e0b46
Nautical Science,fet_grade_10_12,other,Unknown,source_based_plus_extended_response,True,True,True,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/nautical_science.pdf,7b078cfe9156a752218dcb0fd2e09558ce9343c263b8e0277251e2c3df26c3dc
Ontwerp (Design),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,False,True,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_ontwerp_gr_10-12_web.pdf,95e48eeb12b6984a7d8d953a29e2e75018d529f2b404eb71f9fe15b13e349441
Perdestudie,fet_grade_10_12,other,Unknown,practical_investigation,False,False,False,False,True,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/perdestudie.pdf,ae3d19c49ee1fbf36943059e12067eb31979717ffec18ac834bf45b2af7407ea
Physical Sciences,fet_grade_10_12,science,Unknown,data_diagram_practical_investigation,True,True,False,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_physical_science_web.pdf,8b7b20f350a46fc077c4e9b2fcf4ecfd7b63e7f6cd56d7d6ea94de75dbcd209f
Rekenaartoepassing Tegnologie (Computer Application Technology),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,True,True,True,True,False,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_rekenaartoepassingtegnologie_gr_10-12_web.pdf,8190e97712cb3e486109b2438e69af6332815cfda42e1b2fdd59f4a4287c3dbb
Rekeningkunde (Accounting),fet_grade_10_12,commerce,Afrikaans,case_study_structured_questions,False,False,True,False,False,True,False,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_rekeningkunde_2_gr_10-12_web.pdf,4bc83e21bfafef20014cb175cd3d35f234abc340306a507e2a9811003e1b8a6c
Religie Studies (Religion Studies),fet_grade_10_12,language,Afrikaans,language_integrated_assessment,False,False,False,False,False,False,True,False,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_afrikaans_religiestudies_gr_10-12_web.pdf,64312522e4d5e63c666c4943acfcc09e396a0ad986d336307b0b3931994c9769
Religion Studies,fet_grade_10_12,other,Unknown,source_based_plus_extended_response,True,True,False,True,True,True,True,True,True,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_religion_studies_gr_10-12_web_32d7.pdf,d25ba9e1b0efce21e16033dc52d3ab34693baebecebb56285e157b4a9c29ff2a
Sepedi,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_sal_sepedi_gr_10-12_web_a3c3.pdf,9a79e06a28c3b7c8355be75d4e5a68c7f541ede9e77d976916f3428255656bc8
Sepedi,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_sepedi_gr_10-12_web_4737.pdf,6446a998f98064b19277103000cb219951301716564588bf408f4ec09120b5c0
Sepedi,fet_grade_10_12,language,English,language_integrated_assessment,False,False,False,False,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_sepedi_gr_10-12_web_9f5b.pdf,84e4da178496f48583735fa761415e8f2a5499dc27149ccf0b9c65db30ec46ff
Sesotho,fet_grade_10_12,language,Sesotho,language_integrated_assessment,False,False,False,False,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_home_sesotho_gr_10-12_web_3e83.pdf,62822ce7108abee3e17245bd914c141d57f04508f67e6043396e0e7847c206ae
Sesotho,fet_grade_10_12,language,Sesotho,language_integrated_assessment,False,False,False,False,True,False,True,False,False,/home/byron/Downloads/KnowEdge_AutoRelease_Suite/corpora/caps/pdf/fet_grade_10_12/caps_fet_fal_sesotho_gr_10-12_web_02a1.pdf,a90bb49bf29896d9f9c10287f744acd243bf179c77aebfda50acd17a42555dcf
